,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo
cbs,20.808652046684813,35.0,32.449961479175904,21.0,21.0,32.449961479175904,35.0,20.808652046684813,39.71145930332956,18.138357147217054,9.1104335791443,17.029386365926403,,15.84297951775486,19.339079605813716,17.146428199482248,19.339079605813716,18.138357147217054,12.68857754044952,16.792855623746664,17.029386365926403,25.099800796022265,18.027756377319946,22.38302928559939,30.066592756745816,11.661903789690601,9.219544457292887,9.1104335791443,16.30950643030009,8.06225774829855,11.445523142259598,12.24744871391589,13.638181696985855,18.138357147217054,8.306623862918075,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195,32.449961479175904,21.0,2.0,21.307275752662516,41.036569057366385,20.024984394500787,33.301651610693426,29.79932885150268,31.400636936215164
cnn,14.0,30.23243291566195,21.0,2.0,2.0,21.0,30.23243291566195,14.0,23.043437243605826,8.306623862918075,16.30950643030009,25.099800796022265,15.84297951775486,,15.264337522473747,11.661903789690601,14.035668847618199,15.84297951775486,6.082762530298219,9.433981132056603,5.0990195135927845,9.695359714832659,15.84297951775486,19.339079605813716,17.146428199482248,19.339079605813716,18.138357147217054,12.68857754044952,16.792855623746664,17.029386365926403,25.099800796022265,18.027756377319946,22.38302928559939,30.066592756745816,11.661903789690601,9.219544457292887,9.1104335791443,16.30950643030009,8.06225774829855,11.445523142259598,12.24744871391589,13.638181696985855,18.138357147217054,8.306623862918075,37.53664875824692,20.639767440550294,16.09347693943108,39.71145930332956,23.043437243605826,13.076696830622021,20.12461179749811,20.808652046684813,14.0,7.0,35.0,30.23243291566195
commondreams,7.0,32.449961479175904,2.0,21.307275752662516,21.307275752662516,2.0,32.449961479175904,7.0,13.076696830622021,37.53664875824692,8.06225774829855,18.027756377319946,19.339079605813716,15.264337522473747,,7.483314773547883,18.384776310850235,24.269322199023193,20.663978319771825,13.19090595827292,31.622776601683793,23.45207879911715,19.6468827043885,23.345235059857504,15.264337522473747,11.661903789690601,14.035668847618199,15.84297951775486,6.082762530298219,9.433981132056603,5.0990195135927845,9.695359714832659,15.84297951775486,19.339079605813716,17.146428199482248,19.339079605813716,18.138357147217054,12.68857754044952,16.792855623746664,17.029386365926403,25.099800796022265,18.027756377319946,22.38302928559939,30.066592756745816,11.661903789690601,9.219544457292887,9.1104335791443,16.30950643030009,8.06225774829855,11.445523142259598,12.24744871391589,13.638181696985855,18.138357147217054,8.306623862918075,37.53664875824692,20.639767440550294
consortium,35.0,21.0,21.307275752662516,41.036569057366385,41.036569057366385,21.307275752662516,21.0,35.0,20.12461179749811,20.639767440550294,11.445523142259598,22.38302928559939,17.146428199482248,11.661903789690601,7.483314773547883,,10.04987562112089,6.324555320336759,8.831760866327848,15.524174696260024,30.14962686336267,9.695359714832659,22.9128784747792,15.524174696260024,10.44030650891055,14.45683229480096,7.483314773547883,18.384776310850235,24.269322199023193,20.663978319771825,13.19090595827292,31.622776601683793,23.45207879911715,19.6468827043885,23.345235059857504,15.264337522473747,11.661903789690601,14.035668847618199,15.84297951775486,6.082762530298219,9.433981132056603,5.0990195135927845,9.695359714832659,15.84297951775486,19.339079605813716,17.146428199482248,19.339079605813716,18.138357147217054,12.68857754044952,16.792855623746664,17.029386365926403,25.099800796022265,18.027756377319946,22.38302928559939,30.066592756745816,11.661903789690601
conversation,30.23243291566195,2.0,41.036569057366385,20.024984394500787,20.024984394500787,41.036569057366385,2.0,30.23243291566195,20.808652046684813,16.09347693943108,12.24744871391589,30.066592756745816,19.339079605813716,14.035668847618199,18.384776310850235,10.04987562112089,,18.973665961010276,28.0,27.294688127912362,17.291616465790582,23.280893453645632,10.198039027185569,20.615528128088304,1.4142135623730951,13.74772708486752,15.652475842498529,5.0,10.04987562112089,6.324555320336759,8.831760866327848,15.524174696260024,30.14962686336267,9.695359714832659,22.9128784747792,15.524174696260024,10.44030650891055,14.45683229480096,7.483314773547883,18.384776310850235,24.269322199023193,20.663978319771825,13.19090595827292,31.622776601683793,23.45207879911715,19.6468827043885,23.345235059857504,15.264337522473747,11.661903789690601,14.035668847618199,15.84297951775486,6.082762530298219,9.433981132056603,5.0990195135927845,9.695359714832659,15.84297951775486
counterpunch,32.449961479175904,21.307275752662516,20.024984394500787,33.301651610693426,33.301651610693426,20.024984394500787,21.307275752662516,32.449961479175904,14.0,39.71145930332956,13.638181696985855,11.661903789690601,18.138357147217054,15.84297951775486,24.269322199023193,6.324555320336759,18.973665961010276,,24.372115213907882,19.6468827043885,28.460498941515414,27.730849247724095,17.578395831246947,23.45207879911715,21.095023109728988,28.160255680657446,27.018512172212592,22.47220505424423,20.346989949375804,24.289915602982237,18.973665961010276,28.0,27.294688127912362,17.291616465790582,23.280893453645632,10.198039027185569,20.615528128088304,1.4142135623730951,13.74772708486752,15.652475842498529,5.0,10.04987562112089,6.324555320336759,8.831760866327848,15.524174696260024,30.14962686336267,9.695359714832659,22.9128784747792,15.524174696260024,10.44030650891055,14.45683229480096,7.483314773547883,18.384776310850235,24.269322199023193,20.663978319771825,13.19090595827292
dailycaller,21.0,41.036569057366385,33.301651610693426,29.79932885150268,29.79932885150268,33.301651610693426,41.036569057366385,21.0,7.0,23.043437243605826,18.138357147217054,9.219544457292887,12.68857754044952,6.082762530298219,20.663978319771825,8.831760866327848,28.0,24.372115213907882,,12.165525060596439,30.95157508108432,23.108440016582687,21.118712081942874,24.351591323771842,14.594519519326424,12.083045973594572,1.4142135623730951,21.470910553583888,28.792360097775937,26.570660511172846,22.825424421026653,19.79898987322333,24.372115213907882,19.6468827043885,28.460498941515414,27.730849247724095,17.578395831246947,23.45207879911715,21.095023109728988,28.160255680657446,27.018512172212592,22.47220505424423,20.346989949375804,24.289915602982237,18.973665961010276,28.0,27.294688127912362,17.291616465790582,23.280893453645632,10.198039027185569,20.615528128088304,1.4142135623730951,13.74772708486752,15.652475842498529,5.0,10.04987562112089
dailykos,2.0,20.024984394500787,29.79932885150268,31.400636936215164,31.400636936215164,29.79932885150268,20.024984394500787,2.0,35.0,13.076696830622021,8.306623862918075,9.1104335791443,16.792855623746664,9.433981132056603,13.19090595827292,15.524174696260024,27.294688127912362,19.6468827043885,12.165525060596439,,7.810249675906654,15.0996688705415,9.899494936611665,7.3484692283495345,16.911534525287763,11.532562594670797,13.152946437965905,21.118712081942874,23.57965224510319,24.124676163629637,20.71231517720798,30.675723300355934,3.7416573867739413,21.0,12.165525060596439,30.95157508108432,23.108440016582687,21.118712081942874,24.351591323771842,14.594519519326424,12.083045973594572,1.4142135623730951,21.470910553583888,28.792360097775937,26.570660511172846,22.825424421026653,19.79898987322333,24.372115213907882,19.6468827043885,28.460498941515414,27.730849247724095,17.578395831246947,23.45207879911715,21.095023109728988,28.160255680657446,27.018512172212592
dailymail,21.307275752662516,33.301651610693426,31.400636936215164,31.016124838541646,31.016124838541646,31.400636936215164,33.301651610693426,21.307275752662516,30.23243291566195,20.12461179749811,37.53664875824692,16.30950643030009,17.029386365926403,5.0990195135927845,31.622776601683793,30.14962686336267,17.291616465790582,28.460498941515414,30.95157508108432,7.810249675906654,,24.454038521274967,20.12461179749811,17.204650534085253,22.22611077089287,17.26267650163207,25.96150997149434,25.079872407968907,15.132745950421556,21.400934559032695,24.49489742783178,18.867962264113206,18.49324200890693,7.0,11.0,25.179356624028344,7.810249675906654,15.0996688705415,9.899494936611665,7.3484692283495345,16.911534525287763,11.532562594670797,13.152946437965905,21.118712081942874,23.57965224510319,24.124676163629637,20.71231517720798,30.675723300355934,3.7416573867739413,21.0,12.165525060596439,30.95157508108432,23.108440016582687,21.118712081942874,24.351591323771842,14.594519519326424
economist,41.036569057366385,29.79932885150268,31.016124838541646,22.045407685048602,22.045407685048602,31.016124838541646,29.79932885150268,41.036569057366385,32.449961479175904,20.808652046684813,20.639767440550294,8.06225774829855,25.099800796022265,9.695359714832659,23.45207879911715,9.695359714832659,23.280893453645632,27.730849247724095,23.108440016582687,15.0996688705415,24.454038521274967,,13.564659966250536,31.0,13.92838827718412,19.72308292331602,6.708203932499369,12.68857754044952,22.9128784747792,16.73320053068151,19.131126469708992,27.294688127912362,16.3707055437449,21.633307652783937,2.8284271247461903,3.1622776601683795,18.788294228055936,26.40075756488817,24.454038521274967,20.12461179749811,17.204650534085253,22.22611077089287,17.26267650163207,25.96150997149434,25.079872407968907,15.132745950421556,21.400934559032695,24.49489742783178,18.867962264113206,18.49324200890693,7.0,11.0,25.179356624028344,7.810249675906654,15.0996688705415,9.899494936611665
