,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,factcheck,federalist,fivethirtyeight,fox,freebeacon,globalresearch,grayzone,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newsbud,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,reveal,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,voltairenetwork,vox,wapo,wsj
buzzfeed,7.211102550927978,3.0,20.346989949375804,3.0,3.0,20.346989949375804,3.0,7.211102550927978,6.708203932499369,13.379088160259652,,7.280109889280518,2.0,17.11724276862369,17.578395831246947,10.677078252031311,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486,11.180339887498949,19.05255888325765,3.0,10.0,12.529964086141668,19.87460691435179,11.575836902790225
canary,13.92838827718412,7.211102550927978,3.0,3.0,3.0,3.0,7.211102550927978,13.92838827718412,13.892443989449804,8.06225774829855,7.280109889280518,,10.0,7.0710678118654755,13.30413469565007,8.94427190999916,7.810249675906654,11.575836902790225,7.280109889280518,2.0,17.11724276862369,17.578395831246947,10.677078252031311,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472,6.708203932499369,8.54400374531753,8.94427190999916,10.44030650891055,3.0,19.05255888325765,3.1622776601683795,15.84297951775486
cbs,14.317821063276353,20.346989949375804,3.0,3.0,3.0,3.0,20.346989949375804,14.317821063276353,6.708203932499369,18.05547008526779,2.0,10.0,,15.165750888103101,9.797958971132712,4.47213595499958,13.638181696985855,5.0,4.0,15.652475842498529,10.0,7.0710678118654755,13.30413469565007,8.94427190999916,7.810249675906654,11.575836902790225,7.280109889280518,2.0,17.11724276862369,17.578395831246947,10.677078252031311,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369,10.0,3.0,13.892443989449804,11.180339887498949,8.48528137423857,14.45683229480096,5.0,15.84297951775486,17.349351572897472
cnbc,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.810249675906654,16.15549442140351,17.11724276862369,7.0710678118654755,15.165750888103101,,11.575836902790225,11.789826122551595,3.605551275463989,10.816653826391969,8.06225774829855,15.7797338380595,6.0,7.280109889280518,15.165750888103101,9.797958971132712,4.47213595499958,13.638181696985855,5.0,4.0,15.652475842498529,10.0,7.0710678118654755,13.30413469565007,8.94427190999916,7.810249675906654,11.575836902790225,7.280109889280518,2.0,17.11724276862369,17.578395831246947,10.677078252031311,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369,16.61324772583615,5.0,11.0,22.38302928559939,13.0,5.0,5.0,3.0,10.44030650891055,6.708203932499369
cnn,7.211102550927978,3.0,3.0,3.0,3.0,3.0,3.0,7.211102550927978,7.211102550927978,10.44030650891055,17.578395831246947,13.30413469565007,9.797958971132712,11.575836902790225,,10.0,2.23606797749979,15.684387141358123,13.74772708486752,13.19090595827292,7.3484692283495345,13.341664064126334,7.483314773547883,17.916472867168917,11.575836902790225,11.789826122551595,3.605551275463989,10.816653826391969,8.06225774829855,15.7797338380595,6.0,7.280109889280518,15.165750888103101,9.797958971132712,4.47213595499958,13.638181696985855,5.0,4.0,15.652475842498529,10.0,7.0710678118654755,13.30413469565007,8.94427190999916,7.810249675906654,11.575836902790225,7.280109889280518,2.0,17.11724276862369,17.578395831246947,10.677078252031311,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0,18.466185312619388,10.0,11.40175425099138,16.1245154965971,6.708203932499369,19.1049731745428,17.74823934929885,15.165750888103101,13.0,3.605551275463989,6.708203932499369
commondreams,20.346989949375804,3.0,3.0,11.661903789690601,11.661903789690601,3.0,3.0,20.346989949375804,13.92838827718412,6.708203932499369,10.677078252031311,8.94427190999916,4.47213595499958,11.789826122551595,10.0,,8.48528137423857,12.36931687685298,9.273618495495704,7.681145747868608,9.643650760992955,8.0,5.385164807134504,8.306623862918075,4.123105625617661,9.433981132056603,10.0,2.23606797749979,15.684387141358123,13.74772708486752,13.19090595827292,7.3484692283495345,13.341664064126334,7.483314773547883,17.916472867168917,11.575836902790225,11.789826122551595,3.605551275463989,10.816653826391969,8.06225774829855,15.7797338380595,6.0,7.280109889280518,15.165750888103101,9.797958971132712,4.47213595499958,13.638181696985855,5.0,4.0,15.652475842498529,10.0,7.0710678118654755,13.30413469565007,8.94427190999916,7.810249675906654,11.575836902790225,7.280109889280518,2.0,17.11724276862369,17.578395831246947,10.677078252031311,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978,13.92838827718412,14.317821063276353,3.0,7.211102550927978,20.346989949375804,3.0,3.0,3.0,3.0,3.0,11.661903789690601,3.0
consortium,3.0,3.0,11.661903789690601,3.0,3.0,11.661903789690601,3.0,3.0,14.317821063276353,13.892443989449804,13.379088160259652,7.810249675906654,13.638181696985855,3.605551275463989,2.23606797749979,8.48528137423857,,8.246211251235321,18.384776310850235,1.0,8.94427190999916,18.24828759089466,9.219544457292887,9.797958971132712,10.816653826391969,9.695359714832659,2.449489742783178,9.899494936611665,8.48528137423857,12.36931687685298,9.273618495495704,7.681145747868608,9.643650760992955,8.0,5.385164807134504,8.306623862918075,4.123105625617661,9.433981132056603,10.0,2.23606797749979,15.684387141358123,13.74772708486752,13.19090595827292,7.3484692283495345,13.341664064126334,7.483314773547883,17.916472867168917,11.575836902790225,11.789826122551595,3.605551275463989,10.816653826391969,8.06225774829855,15.7797338380595,6.0,7.280109889280518,15.165750888103101,9.797958971132712,4.47213595499958,13.638181696985855,5.0,4.0,15.652475842498529,10.0,7.0710678118654755,13.30413469565007,8.94427190999916,7.810249675906654,11.575836902790225,7.280109889280518,2.0,17.11724276862369,17.578395831246947,10.677078252031311,13.379088160259652,8.06225774829855,18.05547008526779,16.15549442140351,10.44030650891055,6.708203932499369,13.892443989449804,6.708203932499369,7.810249675906654,7.211102550927978
conversation,3.0,3.0,3.0,18.466185312619388,18.466185312619388,3.0,3.0,3.0,3.0,6.708203932499369,8.06225774829855,11.575836902790225,5.0,10.816653826391969,15.684387141358123,12.36931687685298,8.246211251235321,,8.48528137423857,8.246211251235321,8.831760866327848,13.45362404707371,6.324555320336759,15.264337522473747,12.884098726725126,10.816653826391969,18.49324200890693,6.082762530298219,5.656854249492381,13.856406460551018,8.246211251235321,18.384776310850235,1.0,8.94427190999916,18.24828759089466,9.219544457292887,9.797958971132712,10.816653826391969,9.695359714832659,2.449489742783178,9.899494936611665,8.48528137423857,12.36931687685298,9.273618495495704,7.681145747868608,9.643650760992955,8.0,5.385164807134504,8.306623862918075,4.123105625617661,9.433981132056603,10.0,2.23606797749979,15.684387141358123,13.74772708486752,13.19090595827292,7.3484692283495345,13.341664064126334,7.483314773547883,17.916472867168917,11.575836902790225,11.789826122551595,3.605551275463989,10.816653826391969,8.06225774829855,15.7797338380595,6.0,7.280109889280518,15.165750888103101,9.797958971132712,4.47213595499958,13.638181696985855,5.0,4.0,15.652475842498529,10.0,7.0710678118654755,13.30413469565007,8.94427190999916,7.810249675906654,11.575836902790225,7.280109889280518,2.0
counterpunch,3.0,11.661903789690601,18.466185312619388,10.0,10.0,18.466185312619388,11.661903789690601,3.0,7.211102550927978,7.810249675906654,18.05547008526779,7.280109889280518,4.0,8.06225774829855,13.74772708486752,9.273618495495704,18.384776310850235,8.48528137423857,,5.0,13.30413469565007,7.280109889280518,17.578395831246947,0.0,8.06225774829855,18.05547008526779,14.142135623730951,10.295630140987,4.123105625617661,6.48074069840786,9.848857801796104,8.48528137423857,8.48528137423857,8.246211251235321,8.831760866327848,13.45362404707371,6.324555320336759,15.264337522473747,12.884098726725126,10.816653826391969,18.49324200890693,6.082762530298219,5.656854249492381,13.856406460551018,8.246211251235321,18.384776310850235,1.0,8.94427190999916,18.24828759089466,9.219544457292887,9.797958971132712,10.816653826391969,9.695359714832659,2.449489742783178,9.899494936611665,8.48528137423857,12.36931687685298,9.273618495495704,7.681145747868608,9.643650760992955,8.0,5.385164807134504,8.306623862918075,4.123105625617661,9.433981132056603,10.0,2.23606797749979,15.684387141358123,13.74772708486752,13.19090595827292,7.3484692283495345,13.341664064126334,7.483314773547883,17.916472867168917,11.575836902790225,11.789826122551595,3.605551275463989,10.816653826391969,8.06225774829855,15.7797338380595,6.0,7.280109889280518,15.165750888103101
dailycaller,3.0,3.0,10.0,11.40175425099138,11.40175425099138,10.0,3.0,3.0,20.346989949375804,7.211102550927978,16.15549442140351,2.0,15.652475842498529,15.7797338380595,13.19090595827292,7.681145747868608,1.0,8.246211251235321,5.0,,5.0,6.0,9.16515138991168,8.94427190999916,13.19090595827292,10.44030650891055,7.211102550927978,14.035668847618199,13.45362404707371,1.0,12.36931687685298,10.0,17.916472867168917,6.0,5.0,13.30413469565007,7.280109889280518,17.578395831246947,0.0,8.06225774829855,18.05547008526779,14.142135623730951,10.295630140987,4.123105625617661,6.48074069840786,9.848857801796104,8.48528137423857,8.48528137423857,8.246211251235321,8.831760866327848,13.45362404707371,6.324555320336759,15.264337522473747,12.884098726725126,10.816653826391969,18.49324200890693,6.082762530298219,5.656854249492381,13.856406460551018,8.246211251235321,18.384776310850235,1.0,8.94427190999916,18.24828759089466,9.219544457292887,9.797958971132712,10.816653826391969,9.695359714832659,2.449489742783178,9.899494936611665,8.48528137423857,12.36931687685298,9.273618495495704,7.681145747868608,9.643650760992955,8.0,5.385164807134504,8.306623862918075,4.123105625617661,9.433981132056603,10.0,2.23606797749979,15.684387141358123
