,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,fox,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,newyorker,npr,nypost,nytimes,opednews,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,spectator,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
commondreams,12.0,5.0,0.0,9.273618495495704,9.273618495495704,0.0,5.0,12.0,13.892443989449804,9.433981132056603,12.165525060596439,9.899494936611665,13.0,9.0,5.656854249492381,,8.602325267042627,12.0,8.602325267042627,3.0,5.656854249492381,11.40175425099138,8.94427190999916,5.656854249492381,9.848857801796104,9.055385138137417,5.656854249492381,4.242640687119285,6.4031242374328485,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,16.06237840420901,11.74734012447073,14.247806848775006,14.7648230602334,11.74734012447073,12.884098726725126,14.177446878757825,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,5.0,5.0,13.892443989449804,10.295630140987,7.0710678118654755,12.165525060596439,6.4031242374328485,9.899494936611665,9.0,7.280109889280518
conversation,0.0,9.0,9.273618495495704,3.0,3.0,9.273618495495704,9.0,0.0,8.602325267042627,11.445523142259598,6.4031242374328485,9.0,8.602325267042627,16.06237840420901,4.242640687119285,8.602325267042627,,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,8.94427190999916,12.0,16.06237840420901,0.0,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.656854249492381,11.40175425099138,8.94427190999916,5.656854249492381,9.848857801796104,9.055385138137417,5.656854249492381,4.242640687119285,6.4031242374328485,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,16.06237840420901,11.74734012447073,14.247806848775006,14.7648230602334,11.74734012447073,12.884098726725126,14.177446878757825,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.0,7.0710678118654755,0.0
counterpunch,12.165525060596439,0.0,3.0,0.0,0.0,3.0,0.0,12.165525060596439,9.899494936611665,9.0,9.899494936611665,5.0,12.0,11.74734012447073,6.4031242374328485,12.0,5.0,,10.04987562112089,13.638181696985855,11.874342087037917,10.04987562112089,4.123105625617661,7.483314773547883,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,8.94427190999916,12.0,16.06237840420901,0.0,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.656854249492381,11.40175425099138,8.94427190999916,5.656854249492381,9.848857801796104,9.055385138137417,5.656854249492381,4.242640687119285,6.4031242374328485,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,16.06237840420901,11.74734012447073,14.247806848775006
dailycaller,5.0,9.273618495495704,0.0,12.0,12.0,0.0,9.273618495495704,5.0,0.0,0.0,9.0,5.0,8.602325267042627,14.247806848775006,11.74734012447073,8.602325267042627,7.0710678118654755,10.04987562112089,,3.0,9.0,10.295630140987,6.4031242374328485,9.0,7.280109889280518,0.0,10.04987562112089,8.774964387392123,5.385164807134504,10.04987562112089,9.433981132056603,8.774964387392123,10.04987562112089,13.638181696985855,11.874342087037917,10.04987562112089,4.123105625617661,7.483314773547883,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,8.94427190999916,12.0,16.06237840420901,0.0,12.0,13.0,8.602325267042627,12.0,8.602325267042627,3.0,5.656854249492381,11.40175425099138,8.94427190999916,5.656854249492381,9.848857801796104,9.055385138137417
dailykos,9.0,3.0,12.0,4.242640687119285,4.242640687119285,12.0,3.0,9.0,12.0,5.0,7.280109889280518,13.892443989449804,3.0,14.7648230602334,12.0,3.0,0.0,13.638181696985855,3.0,,12.727922061357855,6.0,6.0,7.810249675906654,5.0990195135927845,6.0,7.0710678118654755,3.0,7.483314773547883,9.0,3.0,6.4031242374328485,9.0,14.177446878757825,3.0,9.0,10.295630140987,6.4031242374328485,9.0,7.280109889280518,0.0,10.04987562112089,8.774964387392123,5.385164807134504,10.04987562112089,9.433981132056603,8.774964387392123,10.04987562112089,13.638181696985855,11.874342087037917,10.04987562112089,4.123105625617661,7.483314773547883,12.0,5.656854249492381,0.0,11.74734012447073,12.0,0.0,5.0,7.0710678118654755,0.0,9.899494936611665,9.0,8.94427190999916
dailymail,0.0,0.0,4.242640687119285,9.899494936611665,9.899494936611665,4.242640687119285,0.0,0.0,0.0,13.892443989449804,0.0,10.295630140987,5.0,11.74734012447073,0.0,5.656854249492381,9.899494936611665,11.874342087037917,9.0,12.727922061357855,,4.0,12.083045973594572,8.0,4.0,6.4031242374328485,5.0990195135927845,4.0,7.615773105863909,5.0,3.0,7.280109889280518,6.0,6.0,4.47213595499958,6.0,12.727922061357855,6.0,6.0,7.810249675906654,5.0990195135927845,6.0,7.0710678118654755,3.0,7.483314773547883,9.0,3.0,6.4031242374328485,9.0,14.177446878757825,3.0,9.0,10.295630140987,6.4031242374328485,9.0,7.280109889280518,0.0,10.04987562112089,8.774964387392123,5.385164807134504,10.04987562112089,9.433981132056603,8.774964387392123,10.04987562112089,13.638181696985855
dailywire,9.273618495495704,12.0,9.899494936611665,5.656854249492381,5.656854249492381,9.899494936611665,12.0,9.273618495495704,12.165525060596439,8.602325267042627,9.433981132056603,7.0710678118654755,7.0710678118654755,12.884098726725126,5.0,11.40175425099138,9.0,10.04987562112089,10.295630140987,6.0,4.0,,4.242640687119285,9.899494936611665,12.884098726725126,8.602325267042627,9.899494936611665,13.892443989449804,12.165525060596439,9.899494936611665,0.0,7.280109889280518,2.0,5.0,7.810249675906654,4.0,8.0,4.0,4.0,12.083045973594572,8.0,4.0,6.4031242374328485,5.0990195135927845,4.0,7.615773105863909,5.0,3.0,7.280109889280518,6.0,6.0,4.47213595499958,6.0,12.727922061357855,6.0,6.0,7.810249675906654,5.0990195135927845,6.0,7.0710678118654755,3.0,7.483314773547883,9.0,3.0,6.4031242374328485
economist,3.0,4.242640687119285,5.656854249492381,12.0,12.0,5.656854249492381,4.242640687119285,3.0,5.0,9.899494936611665,11.445523142259598,12.165525060596439,0.0,14.177446878757825,7.0710678118654755,8.94427190999916,8.94427190999916,4.123105625617661,6.4031242374328485,6.0,12.083045973594572,4.242640687119285,,8.602325267042627,4.242640687119285,9.899494936611665,12.884098726725126,8.602325267042627,9.899494936611665,13.892443989449804,12.165525060596439,9.899494936611665,0.0,7.280109889280518,7.615773105863909,7.0710678118654755,7.280109889280518,4.123105625617661,9.899494936611665,8.602325267042627,4.242640687119285,9.899494936611665,12.884098726725126,8.602325267042627,9.899494936611665,13.892443989449804,12.165525060596439,9.899494936611665,0.0,7.280109889280518,2.0,5.0,7.810249675906654,4.0,8.0,4.0,4.0,12.083045973594572,8.0,4.0,6.4031242374328485,5.0990195135927845,4.0,7.615773105863909,5.0
federalist,0.0,9.899494936611665,12.0,9.0,9.0,12.0,9.899494936611665,0.0,9.0,0.0,9.0,6.4031242374328485,9.899494936611665,12.0,0.0,5.656854249492381,12.0,7.483314773547883,9.0,7.810249675906654,8.0,9.899494936611665,8.602325267042627,,13.114877048604,8.717797887081348,8.717797887081348,13.114877048604,10.488088481701515,8.717797887081348,13.114877048604,16.0312195418814,13.490737563232042,13.114877048604,6.782329983125268,8.54400374531753,0.0,7.615773105863909,7.0710678118654755,7.280109889280518,4.123105625617661,9.899494936611665,8.602325267042627,4.242640687119285,9.899494936611665,12.884098726725126,8.602325267042627,9.899494936611665,13.892443989449804,12.165525060596439,9.899494936611665,0.0,7.280109889280518,7.615773105863909,7.0710678118654755,7.280109889280518,4.123105625617661,9.899494936611665,8.602325267042627,4.242640687119285,9.899494936611665,12.884098726725126,8.602325267042627,9.899494936611665,13.892443989449804
fivethirtyeight,12.0,5.656854249492381,9.0,0.0,0.0,9.0,5.656854249492381,12.0,0.0,12.0,0.0,9.899494936611665,9.0,13.0,9.899494936611665,9.848857801796104,16.06237840420901,12.0,7.280109889280518,5.0990195135927845,4.0,12.884098726725126,4.242640687119285,13.114877048604,,4.123105625617661,7.3484692283495345,11.224972160321824,3.7416573867739413,7.3484692283495345,8.48528137423857,11.224972160321824,7.3484692283495345,11.789826122551595,11.575836902790225,7.3484692283495345,5.0990195135927845,9.0,6.782329983125268,6.782329983125268,10.392304845413264,9.38083151964686,8.54400374531753,3.605551275463989,13.114877048604,8.717797887081348,8.717797887081348,13.114877048604,10.488088481701515,8.717797887081348,13.114877048604,16.0312195418814,13.490737563232042,13.114877048604,6.782329983125268,8.54400374531753,0.0,7.615773105863909,7.0710678118654755,7.280109889280518,4.123105625617661,9.899494936611665,8.602325267042627,4.242640687119285,9.899494936611665
