,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,truthdig,usatoday,vice,vox,wapo,wsj
buzzfeed,3.1622776601683795,5.916079783099616,0.0,34.597687784012386,34.597687784012386,0.0,5.916079783099616,3.1622776601683795,15.297058540778355,12.083045973594572,,13.92838827718412,13.341664064126334,5.0,19.82422760159901,10.04987562112089,12.083045973594572,20.591260281974,13.0,18.24828759089466,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891,10.954451150103322,6.0,18.681541692269406,19.4164878389476,15.066519173319364,24.1039415863879,10.099504938362077
canary,12.68857754044952,11.445523142259598,34.597687784012386,3.1622776601683795,3.1622776601683795,34.597687784012386,11.445523142259598,12.68857754044952,26.019223662515376,20.591260281974,13.92838827718412,,18.275666882497067,17.69180601295413,23.366642891095847,26.19160170741759,17.291616465790582,7.810249675906654,13.92838827718412,13.341664064126334,5.0,19.82422760159901,10.04987562112089,12.083045973594572,20.591260281974,13.0,18.24828759089466,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0,1.4142135623730951,6.4031242374328485,24.55605831561735,17.029386365926403,22.0,3.0,4.242640687119285,15.329709716755891
cbs,10.099504938362077,0.0,3.1622776601683795,20.591260281974,20.591260281974,3.1622776601683795,0.0,10.099504938362077,9.0,13.0,13.341664064126334,18.275666882497067,,4.242640687119285,15.297058540778355,6.0,4.123105625617661,18.81488772222678,13.638181696985855,9.0,18.275666882497067,17.69180601295413,23.366642891095847,26.19160170741759,17.291616465790582,7.810249675906654,13.92838827718412,13.341664064126334,5.0,19.82422760159901,10.04987562112089,12.083045973594572,20.591260281974,13.0,18.24828759089466,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616,11.445523142259598,0.0,34.597687784012386,3.1622776601683795,20.591260281974,6.164414002968976,30.380915061926625,1.4142135623730951,3.0
cnbc,5.916079783099616,34.597687784012386,20.591260281974,6.164414002968976,6.164414002968976,20.591260281974,34.597687784012386,5.916079783099616,11.704699910719626,18.24828759089466,5.0,17.69180601295413,4.242640687119285,,21.6794833886788,14.866068747318506,5.744562646538029,17.46424919657298,3.605551275463989,8.94427190999916,16.278820596099706,16.15549442140351,4.242640687119285,15.297058540778355,6.0,4.123105625617661,18.81488772222678,13.638181696985855,9.0,18.275666882497067,17.69180601295413,23.366642891095847,26.19160170741759,17.291616465790582,7.810249675906654,13.92838827718412,13.341664064126334,5.0,19.82422760159901,10.04987562112089,12.083045973594572,20.591260281974,13.0,18.24828759089466,18.275666882497067,15.297058540778355,26.019223662515376,9.0,11.704699910719626,3.1622776601683795,12.68857754044952,10.099504938362077,5.916079783099616
cnn,11.445523142259598,3.1622776601683795,6.164414002968976,30.380915061926625,30.380915061926625,6.164414002968976,3.1622776601683795,11.445523142259598,3.1622776601683795,18.275666882497067,19.82422760159901,23.366642891095847,15.297058540778355,21.6794833886788,,18.138357147217054,22.9128784747792,24.0,14.035668847618199,10.770329614269007,5.0990195135927845,14.696938456699069,12.84523257866513,22.22611077089287,21.6794833886788,14.866068747318506,5.744562646538029,17.46424919657298,3.605551275463989,8.94427190999916,16.278820596099706,16.15549442140351,4.242640687119285,15.297058540778355,6.0,4.123105625617661,18.81488772222678,13.638181696985855,9.0,18.275666882497067,17.69180601295413,23.366642891095847,26.19160170741759,17.291616465790582,7.810249675906654,13.92838827718412,13.341664064126334,5.0,19.82422760159901,10.04987562112089,12.083045973594572,20.591260281974,13.0
commondreams,0.0,20.591260281974,30.380915061926625,1.4142135623730951,1.4142135623730951,30.380915061926625,20.591260281974,0.0,12.68857754044952,15.297058540778355,10.04987562112089,26.19160170741759,6.0,14.866068747318506,18.138357147217054,,16.55294535724685,5.196152422706632,19.672315572906,8.12403840463596,20.71231517720798,25.337718918639855,23.345235059857504,21.047565179849187,22.825424421026653,22.67156809750927,18.138357147217054,22.9128784747792,24.0,14.035668847618199,10.770329614269007,5.0990195135927845,14.696938456699069,12.84523257866513,22.22611077089287,21.6794833886788,14.866068747318506,5.744562646538029,17.46424919657298,3.605551275463989,8.94427190999916,16.278820596099706,16.15549442140351,4.242640687119285,15.297058540778355,6.0,4.123105625617661,18.81488772222678,13.638181696985855,9.0,18.275666882497067,17.69180601295413,23.366642891095847
consortium,34.597687784012386,6.164414002968976,1.4142135623730951,3.0,3.0,1.4142135623730951,6.164414002968976,34.597687784012386,10.099504938362077,26.019223662515376,12.083045973594572,17.291616465790582,4.123105625617661,5.744562646538029,22.9128784747792,16.55294535724685,,5.0,12.083045973594572,13.0,18.24828759089466,0.0,19.235384061671343,18.138357147217054,11.74734012447073,14.730919862656235,19.4164878389476,10.04987562112089,16.55294535724685,5.196152422706632,19.672315572906,8.12403840463596,20.71231517720798,25.337718918639855,23.345235059857504,21.047565179849187,22.825424421026653,22.67156809750927,18.138357147217054,22.9128784747792,24.0,14.035668847618199,10.770329614269007,5.0990195135927845,14.696938456699069,12.84523257866513,22.22611077089287,21.6794833886788,14.866068747318506,5.744562646538029,17.46424919657298,3.605551275463989,8.94427190999916
conversation,3.1622776601683795,30.380915061926625,3.0,1.4142135623730951,1.4142135623730951,3.0,30.380915061926625,3.1622776601683795,5.916079783099616,9.0,20.591260281974,7.810249675906654,18.81488772222678,17.46424919657298,24.0,5.196152422706632,5.0,,13.92838827718412,7.483314773547883,13.0,11.74734012447073,19.44222209522358,4.58257569495584,8.12403840463596,24.0,14.866068747318506,4.242640687119285,9.0,17.291616465790582,5.0,12.083045973594572,13.0,18.24828759089466,0.0,19.235384061671343,18.138357147217054,11.74734012447073,14.730919862656235,19.4164878389476,10.04987562112089,16.55294535724685,5.196152422706632,19.672315572906,8.12403840463596,20.71231517720798,25.337718918639855,23.345235059857504,21.047565179849187,22.825424421026653,22.67156809750927,18.138357147217054,22.9128784747792
counterpunch,20.591260281974,1.4142135623730951,1.4142135623730951,6.4031242374328485,6.4031242374328485,1.4142135623730951,1.4142135623730951,20.591260281974,11.445523142259598,11.704699910719626,13.0,13.92838827718412,13.638181696985855,3.605551275463989,14.035668847618199,19.672315572906,12.083045973594572,13.92838827718412,,15.297058540778355,20.83266665599966,10.295630140987,16.76305461424021,4.0,18.973665961010276,9.0,4.58257569495584,6.708203932499369,20.518284528683193,12.328828005937952,7.54983443527075,10.0,13.92838827718412,7.483314773547883,13.0,11.74734012447073,19.44222209522358,4.58257569495584,8.12403840463596,24.0,14.866068747318506,4.242640687119285,9.0,17.291616465790582,5.0,12.083045973594572,13.0,18.24828759089466,0.0,19.235384061671343,18.138357147217054,11.74734012447073,14.730919862656235
dailycaller,6.164414002968976,3.0,6.4031242374328485,24.55605831561735,24.55605831561735,6.4031242374328485,3.0,6.164414002968976,0.0,3.1622776601683795,18.24828759089466,13.341664064126334,9.0,8.94427190999916,10.770329614269007,8.12403840463596,13.0,7.483314773547883,15.297058540778355,,2.0,4.58257569495584,18.027756377319946,3.0,7.211102550927978,16.76305461424021,14.317821063276353,5.830951894845301,8.12403840463596,9.0,1.7320508075688772,19.209372712298546,19.339079605813716,12.36931687685298,15.297058540778355,20.83266665599966,10.295630140987,16.76305461424021,4.0,18.973665961010276,9.0,4.58257569495584,6.708203932499369,20.518284528683193,12.328828005937952,7.54983443527075,10.0,13.92838827718412,7.483314773547883,13.0,11.74734012447073,19.44222209522358,4.58257569495584
