,aljazeera,alternet,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,motherjones,nationalreview,nbc,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,time,townhall,usatoday,vice,vox,wapo,wsj
commondreams,13.416407864998739,3.0,25.0,0.0,0.0,25.0,3.0,13.416407864998739,1.4142135623730951,17.26267650163207,,21.840329667841555,24.677925358506133,24.677925358506133,15.231546211727817,25.495097567963924,17.26267650163207,13.341664064126334,4.242640687119285,16.0,14.0,1.4142135623730951,5.0,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0
conversation,12.0,0.0,0.0,17.46424919657298,17.46424919657298,0.0,0.0,12.0,5.0,13.341664064126334,21.840329667841555,,22.090722034374522,14.866068747318506,1.0,14.317821063276353,3.605551275463989,19.4164878389476,21.840329667841555,24.677925358506133,24.677925358506133,15.231546211727817,25.495097567963924,17.26267650163207,13.341664064126334,4.242640687119285,16.0,14.0,1.4142135623730951,5.0,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0,0.0,25.0,0.0,17.46424919657298,22.22611077089287,17.72004514666935,25.0,13.19090595827292
dailycaller,17.72004514666935,25.0,17.46424919657298,22.22611077089287,22.22611077089287,17.46424919657298,25.0,17.72004514666935,1.4142135623730951,4.242640687119285,24.677925358506133,22.090722034374522,,14.0,18.138357147217054,14.035668847618199,22.0,18.2208671582886,23.958297101421877,18.708286933869708,22.090722034374522,14.866068747318506,1.0,14.317821063276353,3.605551275463989,19.4164878389476,21.840329667841555,24.677925358506133,24.677925358506133,15.231546211727817,25.495097567963924,17.26267650163207,13.341664064126334,4.242640687119285,16.0,14.0,1.4142135623730951,5.0,1.4142135623730951,5.385164807134504,13.416407864998739,12.0,17.72004514666935,3.0
dailykos,3.0,0.0,22.22611077089287,17.72004514666935,17.72004514666935,22.22611077089287,0.0,3.0,5.385164807134504,16.0,24.677925358506133,14.866068747318506,14.0,,24.779023386727733,28.948229652260256,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,18.138357147217054,14.035668847618199,22.0,18.2208671582886,23.958297101421877,18.708286933869708,22.090722034374522,14.866068747318506,1.0,14.317821063276353,3.605551275463989,19.4164878389476,21.840329667841555,24.677925358506133,24.677925358506133,15.231546211727817,25.495097567963924,17.26267650163207,13.341664064126334,4.242640687119285,16.0
dailymail,0.0,17.46424919657298,17.72004514666935,25.0,25.0,17.72004514666935,17.46424919657298,0.0,13.416407864998739,14.0,15.231546211727817,1.0,18.138357147217054,24.779023386727733,,14.142135623730951,22.67156809750927,17.029386365926403,24.779023386727733,18.439088914585774,26.248809496813376,7.280109889280518,25.45584412271571,25.768197453450252,24.779023386727733,28.948229652260256,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,18.138357147217054,14.035668847618199,22.0,18.2208671582886,23.958297101421877,18.708286933869708,22.090722034374522,14.866068747318506,1.0,14.317821063276353,3.605551275463989
dailywire,25.0,22.22611077089287,25.0,13.19090595827292,13.19090595827292,25.0,22.22611077089287,25.0,12.0,1.4142135623730951,25.495097567963924,14.317821063276353,14.035668847618199,28.948229652260256,14.142135623730951,,25.495097567963924,13.341664064126334,0.0,16.0,22.80350850198276,21.400934559032695,21.633307652783937,14.035668847618199,17.46424919657298,4.0,14.142135623730951,22.67156809750927,17.029386365926403,24.779023386727733,18.439088914585774,26.248809496813376,7.280109889280518,25.45584412271571,25.768197453450252,24.779023386727733,28.948229652260256,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0
economist,0.0,17.72004514666935,13.19090595827292,5.0,5.0,13.19090595827292,17.72004514666935,0.0,17.72004514666935,5.0,17.26267650163207,3.605551275463989,22.0,22.759613353482084,22.67156809750927,25.495097567963924,,7.615773105863909,22.20360331117452,22.561028345356956,21.42428528562855,26.13426869074396,22.67156809750927,24.779023386727733,2.0,23.958297101421877,14.317821063276353,24.677925358506133,25.495097567963924,13.341664064126334,0.0,16.0,22.80350850198276,21.400934559032695,21.633307652783937,14.035668847618199,17.46424919657298,4.0,14.142135623730951,22.67156809750927,17.029386365926403,24.779023386727733,18.439088914585774,26.248809496813376
federalist,17.46424919657298,25.0,5.0,14.0,14.0,5.0,25.0,17.46424919657298,3.0,1.4142135623730951,13.341664064126334,19.4164878389476,18.2208671582886,12.36931687685298,17.029386365926403,13.341664064126334,7.615773105863909,,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,21.42428528562855,19.1049731745428,5.0,21.42428528562855,19.1049731745428,23.108440016582687,7.615773105863909,22.20360331117452,22.561028345356956,21.42428528562855,26.13426869074396,22.67156809750927,24.779023386727733,2.0,23.958297101421877,14.317821063276353,24.677925358506133,25.495097567963924,13.341664064126334,0.0
fox,22.22611077089287,13.19090595827292,14.0,2.0,2.0,14.0,13.19090595827292,22.22611077089287,0.0,5.385164807134504,4.242640687119285,21.840329667841555,23.958297101421877,24.1039415863879,24.779023386727733,0.0,22.20360331117452,12.36931687685298,,23.958297101421877,14.317821063276353,24.677925358506133,25.495097567963924,13.341664064126334,0.0,16.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,21.42428528562855,19.1049731745428,5.0,21.42428528562855,19.1049731745428,23.108440016582687
guardian,17.72004514666935,5.0,2.0,17.029386365926403,17.029386365926403,2.0,5.0,17.72004514666935,25.0,13.416407864998739,16.0,24.677925358506133,18.708286933869708,24.041630560342615,18.439088914585774,16.0,22.561028345356956,24.1039415863879,23.958297101421877,,17.72004514666935,18.439088914585774,5.385164807134504,22.825424421026653,12.0,6.324555320336759,19.6468827043885,5.830951894845301,2.0,21.42428528562855,0.0,22.67156809750927,24.779023386727733,2.0,23.958297101421877,14.317821063276353,24.677925358506133,25.495097567963924,13.341664064126334,0.0,16.0,21.42428528562855,2.0,21.400934559032695
huffingtonpost,25.0,14.0,17.029386365926403,25.45584412271571,25.45584412271571,17.029386365926403,14.0,25.0,0.0,12.0,14.0,24.677925358506133,22.090722034374522,11.40175425099138,26.248809496813376,22.80350850198276,21.42428528562855,24.041630560342615,14.317821063276353,17.72004514666935,,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,19.6468827043885,17.72004514666935,25.238858928247925,19.6468827043885,12.649110640673518,28.142494558940577,17.72004514666935,18.439088914585774,5.385164807134504,22.825424421026653,12.0,6.324555320336759,19.6468827043885,5.830951894845301
independent,13.19090595827292,2.0,25.45584412271571,21.400934559032695,21.400934559032695,25.45584412271571,2.0,13.19090595827292,17.46424919657298,17.72004514666935,1.4142135623730951,15.231546211727817,14.866068747318506,2.0,7.280109889280518,21.400934559032695,26.13426869074396,11.40175425099138,24.677925358506133,18.439088914585774,24.779023386727733,,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615
infowars,5.0,17.029386365926403,21.400934559032695,2.0,2.0,21.400934559032695,17.029386365926403,5.0,22.22611077089287,3.0,5.0,25.495097567963924,1.0,14.0,25.45584412271571,21.633307652783937,22.67156809750927,2.0,25.495097567963924,5.385164807134504,0.0,21.400934559032695,,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084,12.36931687685298,24.1039415863879,24.041630560342615,11.40175425099138,2.0,14.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695,24.779023386727733,0.0,22.759613353482084
intercept,14.0,25.45584412271571,2.0,0.0,0.0,2.0,25.45584412271571,14.0,17.72004514666935,0.0,1.4142135623730951,17.26267650163207,14.317821063276353,18.138357147217054,25.768197453450252,14.035668847618199,24.779023386727733,14.0,13.341664064126334,22.825424421026653,22.759613353482084,24.779023386727733,2.0,,21.42428528562855,0.0,22.67156809750927,24.779023386727733,2.0,23.958297101421877,14.317821063276353,24.677925358506133,25.495097567963924,13.341664064126334,0.0,16.0,0.0,0.0,17.72004514666935,2.0,0.0,21.42428528562855,2.0,21.400934559032695
motherjones,2.0,21.400934559032695,0.0,0.0,0.0,0.0,21.400934559032695,2.0,25.0,25.0,5.385164807134504,13.341664064126334,3.605551275463989,14.035668847618199,24.779023386727733,17.46424919657298,2.0,21.42428528562855,0.0,12.0,12.36931687685298,0.0,21.400934559032695,21.42428528562855,,21.400934559032695,19.1049731745428,22.67156809750927,0.0,22.80350850198276,21.400934559032695,21.633307652783937,14.035668847618199,17.46424919657298,4.0,14.142135623730951,22.67156809750927,17.029386365926403,2.0,2.0,2.0,19.6468827043885,0.0,2.0
nationalreview,17.029386365926403,2.0,0.0,0.0,0.0,0.0,2.0,17.029386365926403,13.19090595827292,0.0,13.416407864998739,4.242640687119285,19.4164878389476,22.0,28.948229652260256,4.0,23.958297101421877,19.1049731745428,16.0,6.324555320336759,24.1039415863879,22.759613353482084,24.779023386727733,0.0,21.400934559032695,,25.534290669607408,25.45584412271571,5.196152422706632,25.534290669607408,22.22611077089287,1.4142135623730951,25.45584412271571,18.384776310850235,26.324893162176366,6.4031242374328485,24.779023386727733,25.88435821108957,25.534290669607408,29.0516780926679,22.67156809750927,21.400934559032695,21.400934559032695,21.400934559032695
nbc,25.45584412271571,0.0,0.0,17.72004514666935,17.72004514666935,0.0,0.0,25.45584412271571,5.0,17.46424919657298,12.0,16.0,21.840329667841555,18.2208671582886,22.759613353482084,14.142135623730951,14.317821063276353,5.0,21.42428528562855,19.6468827043885,24.041630560342615,12.36931687685298,0.0,22.67156809750927,19.1049731745428,25.534290669607408,,20.0,17.26267650163207,17.029386365926403,13.152946437965905,17.26267650163207,12.0,18.110770276274835,17.029386365926403,24.73863375370596,17.804493814764857,16.76305461424021,16.0,17.204650534085253,17.26267650163207,21.400934559032695,22.22611077089287,25.534290669607408
npr,21.400934559032695,0.0,17.72004514666935,2.0,2.0,17.72004514666935,0.0,21.400934559032695,14.0,22.22611077089287,17.72004514666935,14.0,24.677925358506133,23.958297101421877,12.36931687685298,22.67156809750927,24.677925358506133,21.42428528562855,2.0,5.830951894845301,11.40175425099138,24.1039415863879,22.759613353482084,24.779023386727733,22.67156809750927,25.45584412271571,20.0,,2.0,19.6468827043885,0.0,2.0,21.42428528562855,0.0,22.67156809750927,24.779023386727733,2.0,23.958297101421877,14.317821063276353,24.677925358506133,25.495097567963924,13.341664064126334,0.0,16.0
nypost,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,17.72004514666935,3.0,1.4142135623730951,24.677925358506133,18.708286933869708,24.1039415863879,17.029386365926403,25.495097567963924,19.1049731745428,21.400934559032695,2.0,2.0,24.041630560342615,12.36931687685298,2.0,0.0,5.196152422706632,17.26267650163207,2.0,,14.0,14.0,5.830951894845301,16.0,14.0,26.13426869074396,16.0,17.029386365926403,28.948229652260256,14.0,18.708286933869708,3.605551275463989,24.677925358506133,17.26267650163207,4.242640687119285
nytimes,0.0,17.72004514666935,0.0,21.42428528562855,21.42428528562855,0.0,17.72004514666935,0.0,17.029386365926403,25.0,0.0,5.0,15.231546211727817,22.090722034374522,24.041630560342615,24.779023386727733,13.341664064126334,23.108440016582687,24.779023386727733,21.42428528562855,14.0,11.40175425099138,24.1039415863879,23.958297101421877,22.80350850198276,25.534290669607408,17.029386365926403,19.6468827043885,14.0,,5.0,5.0,5.0,17.0,5.385164807134504,5.0,17.72004514666935,5.385164807134504,17.69180601295413,21.656407827707714,5.0,22.20360331117452,12.165525060596439,20.8806130178211
observerny,0.0,2.0,21.42428528562855,2.0,2.0,21.42428528562855,2.0,0.0,25.45584412271571,13.19090595827292,25.0,1.4142135623730951,25.495097567963924,14.866068747318506,11.40175425099138,18.439088914585774,0.0,7.615773105863909,0.0,0.0,19.6468827043885,2.0,24.041630560342615,14.317821063276353,21.400934559032695,22.22611077089287,13.152946437965905,0.0,14.0,5.0,,15.165750888103101,13.19090595827292,13.19090595827292,13.19090595827292,5.0990195135927845,15.165750888103101,13.19090595827292,23.769728648009426,15.165750888103101,15.033296378372908,26.645825188948457,13.19090595827292,17.26267650163207
pjmedia,0.0,0.0,2.0,21.400934559032695,21.400934559032695,2.0,0.0,0.0,21.400934559032695,5.0,0.0,5.385164807134504,17.26267650163207,1.0,2.0,26.248809496813376,16.0,22.20360331117452,22.759613353482084,22.67156809750927,17.72004514666935,14.0,11.40175425099138,24.677925358506133,21.633307652783937,1.4142135623730951,17.26267650163207,2.0,5.830951894845301,5.0,15.165750888103101,,15.264337522473747,25.079872407968907,25.0,25.0,25.0,26.248809496813376,25.079872407968907,25.0,15.297058540778355,25.079872407968907,15.264337522473747,19.72308292331602
rawstory,17.72004514666935,21.42428528562855,21.400934559032695,24.779023386727733,24.779023386727733,21.400934559032695,21.42428528562855,17.72004514666935,2.0,14.0,17.46424919657298,13.416407864998739,13.341664064126334,14.317821063276353,14.0,7.280109889280518,22.80350850198276,22.561028345356956,12.36931687685298,24.779023386727733,25.238858928247925,17.72004514666935,2.0,25.495097567963924,14.035668847618199,25.45584412271571,12.0,21.42428528562855,16.0,5.0,13.19090595827292,15.264337522473747,,27.964262908219126,12.649110640673518,19.6468827043885,17.72004514666935,17.72004514666935,17.72004514666935,0.0,19.6468827043885,17.72004514666935,25.238858928247925,19.6468827043885
redstate,2.0,2.0,24.779023386727733,0.0,0.0,24.779023386727733,2.0,2.0,0.0,2.0,22.22611077089287,12.0,4.242640687119285,3.605551275463989,18.138357147217054,25.45584412271571,21.400934559032695,21.42428528562855,24.1039415863879,2.0,19.6468827043885,2.0,14.0,13.341664064126334,17.46424919657298,18.384776310850235,18.110770276274835,0.0,14.0,17.0,13.19090595827292,25.079872407968907,27.964262908219126,,23.366642891095847,21.400934559032695,17.4928556845359,23.790754506740637,22.22611077089287,22.22611077089287,22.22611077089287,13.038404810405298,23.790754506740637,22.22611077089287
rt,0.0,21.400934559032695,0.0,22.759613353482084,22.759613353482084,0.0,21.400934559032695,0.0,0.0,17.029386365926403,17.72004514666935,17.72004514666935,16.0,19.4164878389476,14.035668847618199,25.768197453450252,21.633307652783937,26.13426869074396,24.041630560342615,23.958297101421877,12.649110640673518,0.0,0.0,0.0,4.0,26.324893162176366,17.029386365926403,22.67156809750927,26.13426869074396,5.385164807134504,13.19090595827292,25.0,12.649110640673518,23.366642891095847,,17.11724276862369,5.0,18.466185312619388,17.0,17.11724276862369,17.46424919657298,17.46424919657298,17.46424919657298,24.186773244895647
slate,21.42428528562855,24.779023386727733,22.759613353482084,12.36931687685298,12.36931687685298,22.759613353482084,24.779023386727733,21.42428528562855,0.0,25.45584412271571,25.0,3.0,14.0,21.840329667841555,22.0,24.779023386727733,14.035668847618199,22.67156809750927,11.40175425099138,14.317821063276353,28.142494558940577,21.42428528562855,17.72004514666935,16.0,14.142135623730951,6.4031242374328485,24.73863375370596,24.779023386727733,16.0,5.0,5.0990195135927845,25.0,19.6468827043885,21.400934559032695,17.11724276862369,,14.0,2.0,17.029386365926403,25.45584412271571,21.400934559032695,2.0,0.0,0.0
spectator,2.0,0.0,12.36931687685298,24.1039415863879,24.1039415863879,12.36931687685298,0.0,2.0,17.72004514666935,21.400934559032695,13.19090595827292,0.0,1.4142135623730951,24.677925358506133,18.2208671582886,28.948229652260256,17.46424919657298,24.779023386727733,2.0,24.677925358506133,17.72004514666935,2.0,2.0,0.0,22.67156809750927,24.779023386727733,17.804493814764857,2.0,17.029386365926403,17.72004514666935,15.165750888103101,25.0,17.72004514666935,17.4928556845359,5.0,14.0,,20.0,28.653097563788805,25.079872407968907,8.06225774829855,19.313207915827967,15.264337522473747,25.079872407968907
time,21.400934559032695,22.759613353482084,24.1039415863879,24.041630560342615,24.041630560342615,24.1039415863879,22.759613353482084,21.400934559032695,2.0,2.0,5.0,25.0,5.0,24.677925358506133,23.958297101421877,22.759613353482084,4.0,2.0,14.0,25.495097567963924,18.439088914585774,21.400934559032695,0.0,0.0,17.029386365926403,25.88435821108957,16.76305461424021,23.958297101421877,28.948229652260256,5.385164807134504,13.19090595827292,26.248809496813376,17.72004514666935,23.790754506740637,18.466185312619388,2.0,20.0,,13.19090595827292,5.0,14.0,2.0,17.029386365926403,25.45584412271571
townhall,24.779023386727733,12.36931687685298,24.041630560342615,11.40175425099138,11.40175425099138,24.041630560342615,12.36931687685298,24.779023386727733,0.0,0.0,14.0,0.0,1.4142135623730951,15.231546211727817,18.708286933869708,12.36931687685298,14.142135623730951,23.958297101421877,21.42428528562855,13.341664064126334,5.385164807134504,24.779023386727733,21.42428528562855,17.72004514666935,2.0,25.534290669607408,16.0,14.317821063276353,14.0,17.69180601295413,23.769728648009426,25.079872407968907,17.72004514666935,22.22611077089287,17.0,17.029386365926403,28.653097563788805,13.19090595827292,,22.0,13.076696830622021,2.0,14.317821063276353,3.605551275463989
usatoday,0.0,24.1039415863879,11.40175425099138,2.0,2.0,11.40175425099138,24.1039415863879,0.0,21.42428528562855,0.0,2.0,17.46424919657298,5.385164807134504,25.495097567963924,22.090722034374522,24.1039415863879,22.67156809750927,14.317821063276353,19.1049731745428,0.0,22.825424421026653,0.0,2.0,2.0,2.0,29.0516780926679,17.204650534085253,24.677925358506133,18.708286933869708,21.656407827707714,15.165750888103101,25.0,0.0,22.22611077089287,17.11724276862369,25.45584412271571,25.079872407968907,5.0,22.0,,0.0,26.248809496813376,5.0990195135927845,17.0
vice,22.759613353482084,24.041630560342615,2.0,14.0,14.0,2.0,24.041630560342615,22.759613353482084,2.0,0.0,17.029386365926403,22.22611077089287,13.416407864998739,17.26267650163207,14.866068747318506,24.041630560342615,17.029386365926403,24.677925358506133,5.0,16.0,12.0,22.759613353482084,21.400934559032695,0.0,2.0,22.67156809750927,17.26267650163207,25.495097567963924,3.605551275463989,5.0,15.033296378372908,15.297058540778355,19.6468827043885,22.22611077089287,17.46424919657298,21.400934559032695,8.06225774829855,14.0,13.076696830622021,0.0,,15.165750888103101,7.0710678118654755,27.730849247724095
vox,12.36931687685298,11.40175425099138,14.0,15.033296378372908,15.033296378372908,14.0,11.40175425099138,12.36931687685298,21.400934559032695,17.72004514666935,25.45584412271571,17.72004514666935,12.0,13.341664064126334,1.0,11.40175425099138,24.779023386727733,25.495097567963924,21.42428528562855,21.42428528562855,6.324555320336759,12.36931687685298,24.779023386727733,21.42428528562855,19.6468827043885,21.400934559032695,21.400934559032695,13.341664064126334,24.677925358506133,22.20360331117452,26.645825188948457,25.079872407968907,17.72004514666935,13.038404810405298,17.46424919657298,2.0,19.313207915827967,2.0,2.0,26.248809496813376,15.165750888103101,,19.4164878389476,13.92838827718412
wapo,24.1039415863879,2.0,15.033296378372908,14.866068747318506,14.866068747318506,15.033296378372908,2.0,24.1039415863879,24.779023386727733,2.0,21.400934559032695,25.0,17.72004514666935,4.242640687119285,14.317821063276353,2.0,18.439088914585774,13.341664064126334,19.1049731745428,2.0,19.6468827043885,24.1039415863879,0.0,2.0,0.0,21.400934559032695,22.22611077089287,0.0,17.26267650163207,12.165525060596439,13.19090595827292,15.264337522473747,25.238858928247925,23.790754506740637,17.46424919657298,0.0,15.264337522473747,17.029386365926403,14.317821063276353,5.0990195135927845,7.0710678118654755,19.4164878389476,,5.385164807134504
wsj,24.041630560342615,14.0,14.866068747318506,15.033296378372908,15.033296378372908,14.866068747318506,14.0,24.041630560342615,0.0,0.0,2.0,13.19090595827292,3.0,16.0,3.605551275463989,14.0,26.248809496813376,0.0,23.108440016582687,21.400934559032695,5.830951894845301,24.041630560342615,22.759613353482084,21.400934559032695,2.0,21.400934559032695,25.534290669607408,16.0,4.242640687119285,20.8806130178211,17.26267650163207,19.72308292331602,19.6468827043885,22.22611077089287,24.186773244895647,0.0,25.079872407968907,25.45584412271571,3.605551275463989,17.0,27.730849247724095,13.92838827718412,5.385164807134504,
