,aljazeera,alternet,americanconservative,americanthinker,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,mintpress,motherjones,nationalreview,nbc,npr,nypost,nytimes,opednews,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,truthdig,usatoday,vice,vox,wapo,wsj
cbs,11.0,23.345235059857504,6.4031242374328485,36.72873534441391,36.72873534441391,6.4031242374328485,23.345235059857504,11.0,28.160255680657446,6.0,,23.853720883753127,37.013511046643494,21.400934559032695,15.066519173319364,27.09243436828813,6.0,16.278820596099706,18.627936010197157,32.341923257592455,33.015148038438355,28.160255680657446,19.261360284258224,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369,23.194827009486403,25.079872407968907,4.0,18.0,18.275666882497067,36.6742416417845,28.442925306655784
cnn,3.0,29.832867780352597,36.72873534441391,4.0,4.0,36.72873534441391,29.832867780352597,3.0,19.261360284258224,16.278820596099706,23.853720883753127,,18.384776310850235,7.211102550927978,19.672315572906,33.31666249791537,4.0,22.22611077089287,23.853720883753127,37.013511046643494,21.400934559032695,15.066519173319364,27.09243436828813,6.0,16.278820596099706,18.627936010197157,32.341923257592455,33.015148038438355,28.160255680657446,19.261360284258224,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391,4.0,33.13608305156178,14.866068747318506,27.09243436828813,0.0,17.46424919657298,13.638181696985855,6.708203932499369
commondreams,20.615528128088304,6.4031242374328485,4.0,33.13608305156178,33.13608305156178,4.0,6.4031242374328485,20.615528128088304,7.280109889280518,18.627936010197157,37.013511046643494,18.384776310850235,,1.4142135623730951,30.099833886584822,34.14674215792775,24.041630560342615,17.349351572897472,8.48528137423857,29.832867780352597,18.384776310850235,7.211102550927978,19.672315572906,33.31666249791537,4.0,22.22611077089287,23.853720883753127,37.013511046643494,21.400934559032695,15.066519173319364,27.09243436828813,6.0,16.278820596099706,18.627936010197157,32.341923257592455,33.015148038438355,28.160255680657446,19.261360284258224,7.280109889280518,31.874754901018456,11.0,3.0,20.615528128088304,23.345235059857504,29.832867780352597,6.4031242374328485,36.72873534441391
conversation,23.345235059857504,36.72873534441391,33.13608305156178,14.866068747318506,14.866068747318506,33.13608305156178,36.72873534441391,23.345235059857504,31.874754901018456,32.341923257592455,21.400934559032695,7.211102550927978,1.4142135623730951,,36.742346141747674,4.47213595499958,30.59411708155671,4.242640687119285,20.83266665599966,7.0710678118654755,18.681541692269406,32.863353450309965,1.4142135623730951,30.099833886584822,34.14674215792775,24.041630560342615,17.349351572897472,8.48528137423857,29.832867780352597,18.384776310850235,7.211102550927978,19.672315572906,33.31666249791537,4.0,22.22611077089287,23.853720883753127,37.013511046643494,21.400934559032695,15.066519173319364,27.09243436828813,6.0,16.278820596099706,18.627936010197157,32.341923257592455,33.015148038438355,28.160255680657446,19.261360284258224
counterpunch,29.832867780352597,4.0,14.866068747318506,27.09243436828813,27.09243436828813,14.866068747318506,4.0,29.832867780352597,11.0,33.015148038438355,15.066519173319364,19.672315572906,30.099833886584822,36.742346141747674,,14.730919862656235,11.575836902790225,26.49528259898354,4.242640687119285,34.20526275297414,6.0,23.021728866442675,10.198039027185569,22.869193252058544,36.742346141747674,4.47213595499958,30.59411708155671,4.242640687119285,20.83266665599966,7.0710678118654755,18.681541692269406,32.863353450309965,1.4142135623730951,30.099833886584822,34.14674215792775,24.041630560342615,17.349351572897472,8.48528137423857,29.832867780352597,18.384776310850235,7.211102550927978,19.672315572906,33.31666249791537,4.0,22.22611077089287,23.853720883753127,37.013511046643494
dailycaller,6.4031242374328485,33.13608305156178,27.09243436828813,0.0,0.0,27.09243436828813,33.13608305156178,6.4031242374328485,3.0,28.160255680657446,27.09243436828813,33.31666249791537,34.14674215792775,4.47213595499958,14.730919862656235,,9.219544457292887,24.041630560342615,35.73513677041127,7.0,30.430248109405877,27.09243436828813,14.7648230602334,28.6705423736629,37.68288736283355,21.77154105707724,14.730919862656235,11.575836902790225,26.49528259898354,4.242640687119285,34.20526275297414,6.0,23.021728866442675,10.198039027185569,22.869193252058544,36.742346141747674,4.47213595499958,30.59411708155671,4.242640687119285,20.83266665599966,7.0710678118654755,18.681541692269406,32.863353450309965,1.4142135623730951,30.099833886584822,34.14674215792775,24.041630560342615
dailykos,36.72873534441391,14.866068747318506,0.0,17.46424919657298,17.46424919657298,0.0,14.866068747318506,36.72873534441391,20.615528128088304,19.261360284258224,6.0,4.0,24.041630560342615,30.59411708155671,11.575836902790225,9.219544457292887,,39.7994974842648,19.949937343260004,20.024984394500787,24.535688292770594,22.494443758403985,29.13760456866693,6.4031242374328485,8.06225774829855,32.202484376209235,8.06225774829855,26.248809496813376,9.219544457292887,24.041630560342615,35.73513677041127,7.0,30.430248109405877,27.09243436828813,14.7648230602334,28.6705423736629,37.68288736283355,21.77154105707724,14.730919862656235,11.575836902790225,26.49528259898354,4.242640687119285,34.20526275297414,6.0,23.021728866442675,10.198039027185569,22.869193252058544
dailymail,4.0,27.09243436828813,17.46424919657298,13.638181696985855,13.638181696985855,17.46424919657298,27.09243436828813,4.0,23.345235059857504,7.280109889280518,16.278820596099706,22.22611077089287,17.349351572897472,4.242640687119285,26.49528259898354,24.041630560342615,39.7994974842648,,5.0,19.72308292331602,6.708203932499369,16.673332000533065,31.25699921617557,3.0,23.853720883753127,13.114877048604,25.019992006393608,23.021728866442675,26.19160170741759,25.96150997149434,39.7994974842648,19.949937343260004,20.024984394500787,24.535688292770594,22.494443758403985,29.13760456866693,6.4031242374328485,8.06225774829855,32.202484376209235,8.06225774829855,26.248809496813376,9.219544457292887,24.041630560342615,35.73513677041127,7.0,30.430248109405877,27.09243436828813
economist,33.13608305156178,0.0,13.638181696985855,6.708203932499369,6.708203932499369,13.638181696985855,0.0,33.13608305156178,29.832867780352597,31.874754901018456,18.627936010197157,23.853720883753127,8.48528137423857,20.83266665599966,4.242640687119285,35.73513677041127,19.949937343260004,5.0,,30.0,8.12403840463596,18.05547008526779,9.899494936611665,15.524174696260024,31.176914536239792,7.0710678118654755,22.561028345356956,10.0,25.865034312755125,6.4031242374328485,2.23606797749979,29.274562336608895,5.0,19.72308292331602,6.708203932499369,16.673332000533065,31.25699921617557,3.0,23.853720883753127,13.114877048604,25.019992006393608,23.021728866442675,26.19160170741759,25.96150997149434,39.7994974842648,19.949937343260004,20.024984394500787
federalist,14.866068747318506,17.46424919657298,6.708203932499369,23.194827009486403,23.194827009486403,6.708203932499369,17.46424919657298,14.866068747318506,6.4031242374328485,11.0,32.341923257592455,37.013511046643494,29.832867780352597,7.0710678118654755,34.20526275297414,7.0,20.024984394500787,19.72308292331602,30.0,,8.06225774829855,23.08679276123039,8.06225774829855,22.516660498395403,1.0,14.628738838327793,26.248809496813376,7.0,4.123105625617661,23.790754506740637,14.035668847618199,26.419689627245813,9.486832980505138,6.0,30.0,8.12403840463596,18.05547008526779,9.899494936611665,15.524174696260024,31.176914536239792,7.0710678118654755,22.561028345356956,10.0,25.865034312755125,6.4031242374328485,2.23606797749979,29.274562336608895
