,aljazeera,alternet,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailymail,dailywire,economist,federalist,fox,guardian,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,reuters,rt,shadowproof,slate,truthdig,usatoday,veteranstoday,vox,wapo,wsj
cbs,13.152946437965905,16.278820596099706,15.231546211727817,16.15549442140351,16.15549442140351,15.231546211727817,16.278820596099706,13.152946437965905,16.15549442140351,16.15549442140351,,22.737634001804146,23.958297101421877,21.0,22.9128784747792,17.204650534085253,16.15549442140351,13.892443989449804,18.439088914585774,7.0,13.92838827718412,16.15549442140351,15.811388300841896,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417,16.401219466856727,12.165525060596439,12.165525060596439,18.439088914585774,17.0,17.4928556845359,13.416407864998739
cnn,16.401219466856727,15.231546211727817,16.15549442140351,16.278820596099706,16.278820596099706,16.15549442140351,15.231546211727817,16.401219466856727,15.811388300841896,13.892443989449804,22.737634001804146,,7.0710678118654755,16.06237840420901,17.74823934929885,17.146428199482248,14.247806848775006,18.81488772222678,22.737634001804146,23.958297101421877,21.0,22.9128784747792,17.204650534085253,16.15549442140351,13.892443989449804,18.439088914585774,7.0,13.92838827718412,16.15549442140351,15.811388300841896,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817,15.231546211727817,16.15549442140351,16.278820596099706,14.45683229480096,17.4928556845359,17.029386365926403,19.6468827043885,9.055385138137417
commondreams,14.035668847618199,15.231546211727817,16.278820596099706,14.45683229480096,14.45683229480096,16.278820596099706,15.231546211727817,14.035668847618199,12.0,18.439088914585774,23.958297101421877,7.0710678118654755,,4.58257569495584,15.0996688705415,20.248456731316587,7.615773105863909,20.46948949045872,10.862780491200215,9.1104335791443,7.0710678118654755,16.06237840420901,17.74823934929885,17.146428199482248,14.247806848775006,18.81488772222678,22.737634001804146,23.958297101421877,21.0,22.9128784747792,17.204650534085253,16.15549442140351,13.892443989449804,18.439088914585774,7.0,13.92838827718412,16.15549442140351,15.811388300841896,12.0,15.264337522473747,13.152946437965905,16.401219466856727,14.035668847618199,16.278820596099706,15.231546211727817
consortium,16.278820596099706,16.15549442140351,14.45683229480096,17.4928556845359,17.4928556845359,14.45683229480096,16.15549442140351,16.278820596099706,15.264337522473747,7.0,21.0,16.06237840420901,4.58257569495584,,12.0,5.0,11.575836902790225,12.569805089976535,18.973665961010276,17.72004514666935,20.615528128088304,11.224972160321824,4.58257569495584,15.0996688705415,20.248456731316587,7.615773105863909,20.46948949045872,10.862780491200215,9.1104335791443,7.0710678118654755,16.06237840420901,17.74823934929885,17.146428199482248,14.247806848775006,18.81488772222678,22.737634001804146,23.958297101421877,21.0,22.9128784747792,17.204650534085253,16.15549442140351,13.892443989449804,18.439088914585774,7.0,13.92838827718412
conversation,15.231546211727817,16.278820596099706,17.4928556845359,17.029386365926403,17.029386365926403,17.4928556845359,16.278820596099706,15.231546211727817,13.152946437965905,13.92838827718412,22.9128784747792,17.74823934929885,15.0996688705415,12.0,,2.23606797749979,13.038404810405298,17.0,2.449489742783178,10.862780491200215,14.071247279470288,20.149441679609886,17.204650534085253,22.47220505424423,12.0,5.0,11.575836902790225,12.569805089976535,18.973665961010276,17.72004514666935,20.615528128088304,11.224972160321824,4.58257569495584,15.0996688705415,20.248456731316587,7.615773105863909,20.46948949045872,10.862780491200215,9.1104335791443,7.0710678118654755,16.06237840420901,17.74823934929885,17.146428199482248,14.247806848775006,18.81488772222678
counterpunch,15.231546211727817,14.45683229480096,17.029386365926403,19.6468827043885,19.6468827043885,17.029386365926403,14.45683229480096,15.231546211727817,16.401219466856727,16.15549442140351,17.204650534085253,17.146428199482248,20.248456731316587,5.0,2.23606797749979,,6.0,20.12461179749811,16.1245154965971,17.578395831246947,20.83266665599966,18.867962264113206,19.748417658131498,16.186414056238647,21.447610589527216,22.58317958127243,2.23606797749979,13.038404810405298,17.0,2.449489742783178,10.862780491200215,14.071247279470288,20.149441679609886,17.204650534085253,22.47220505424423,12.0,5.0,11.575836902790225,12.569805089976535,18.973665961010276,17.72004514666935,20.615528128088304,11.224972160321824,4.58257569495584,15.0996688705415
dailycaller,16.15549442140351,17.4928556845359,19.6468827043885,9.055385138137417,9.055385138137417,19.6468827043885,17.4928556845359,16.15549442140351,14.035668847618199,15.811388300841896,16.15549442140351,14.247806848775006,7.615773105863909,11.575836902790225,13.038404810405298,6.0,,23.57965224510319,25.729360660537214,5.385164807134504,13.92838827718412,17.69180601295413,20.346989949375804,20.09975124224178,20.248456731316587,9.695359714832659,18.49324200890693,21.77154105707724,6.0,20.12461179749811,16.1245154965971,17.578395831246947,20.83266665599966,18.867962264113206,19.748417658131498,16.186414056238647,21.447610589527216,22.58317958127243,2.23606797749979,13.038404810405298,17.0,2.449489742783178,10.862780491200215,14.071247279470288,20.149441679609886
dailymail,16.278820596099706,17.029386365926403,9.055385138137417,16.401219466856727,16.401219466856727,9.055385138137417,17.029386365926403,16.278820596099706,16.278820596099706,12.0,13.892443989449804,18.81488772222678,20.46948949045872,12.569805089976535,17.0,20.12461179749811,23.57965224510319,,13.638181696985855,20.639767440550294,18.0,16.522711641858304,6.6332495807108,3.0,23.790754506740637,4.0,21.400934559032695,19.28730152198591,22.045407685048602,18.05547008526779,23.57965224510319,25.729360660537214,5.385164807134504,13.92838827718412,17.69180601295413,20.346989949375804,20.09975124224178,20.248456731316587,9.695359714832659,18.49324200890693,21.77154105707724,6.0,20.12461179749811,16.1245154965971,17.578395831246947
dailywire,14.45683229480096,19.6468827043885,16.401219466856727,12.165525060596439,12.165525060596439,16.401219466856727,19.6468827043885,14.45683229480096,15.231546211727817,15.264337522473747,18.439088914585774,22.737634001804146,10.862780491200215,18.973665961010276,2.449489742783178,16.1245154965971,25.729360660537214,13.638181696985855,,3.7416573867739413,12.24744871391589,16.792855623746664,6.324555320336759,20.615528128088304,12.96148139681572,10.246950765959598,15.165750888103101,18.973665961010276,14.89966442575134,6.6332495807108,5.0990195135927845,11.40175425099138,13.638181696985855,20.639767440550294,18.0,16.522711641858304,6.6332495807108,3.0,23.790754506740637,4.0,21.400934559032695,19.28730152198591,22.045407685048602,18.05547008526779,23.57965224510319
economist,17.4928556845359,9.055385138137417,12.165525060596439,12.165525060596439,12.165525060596439,12.165525060596439,9.055385138137417,17.4928556845359,15.231546211727817,13.152946437965905,7.0,23.958297101421877,9.1104335791443,17.72004514666935,10.862780491200215,17.578395831246947,5.385164807134504,20.639767440550294,3.7416573867739413,,18.973665961010276,13.92838827718412,20.248456731316587,25.92296279363144,17.029386365926403,11.180339887498949,8.831760866327848,15.0,12.165525060596439,22.22611077089287,10.0,19.748417658131498,10.954451150103322,11.40175425099138,3.7416573867739413,12.24744871391589,16.792855623746664,6.324555320336759,20.615528128088304,12.96148139681572,10.246950765959598,15.165750888103101,18.973665961010276,14.89966442575134,6.6332495807108
