,aljazeera,alternet,americanconservative,americanspectator,americanthinker,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
buzzfeed,13.0,5.385164807134504,17.69180601295413,8.0,8.0,17.69180601295413,5.385164807134504,13.0,15.620499351813308,6.0,,15.427248620541512,12.727922061357855,12.727922061357855,5.830951894845301,6.0,6.0,11.40175425099138,11.40175425099138,0.0,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439,13.341664064126334,16.76305461424021,15.652475842498529,17.69180601295413,11.180339887498949,13.0,13.0
canary,13.0,18.193405398660254,8.0,13.0,13.0,8.0,18.193405398660254,13.0,2.8284271247461903,11.40175425099138,15.427248620541512,,12.727922061357855,6.0,11.40175425099138,0.0,0.0,14.071247279470288,15.427248620541512,12.727922061357855,12.727922061357855,5.830951894845301,6.0,6.0,11.40175425099138,11.40175425099138,0.0,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0,16.278820596099706,13.0,17.204650534085253,14.7648230602334,18.193405398660254,2.8284271247461903,13.0,12.165525060596439
cbs,13.0,17.69180601295413,13.0,11.180339887498949,11.180339887498949,13.0,17.69180601295413,13.0,16.401219466856727,11.40175425099138,12.727922061357855,12.727922061357855,,11.045361017187261,12.041594578792296,12.767145334803704,8.54400374531753,5.385164807134504,12.041594578792296,12.041594578792296,12.727922061357855,6.0,11.40175425099138,0.0,0.0,14.071247279470288,15.427248620541512,12.727922061357855,12.727922061357855,5.830951894845301,6.0,6.0,11.40175425099138,11.40175425099138,0.0,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0,13.0,11.180339887498949,11.180339887498949,17.804493814764857,10.198039027185569,0.0,13.0,16.401219466856727,13.0
cnn,5.385164807134504,8.0,11.180339887498949,11.180339887498949,11.180339887498949,11.180339887498949,8.0,5.385164807134504,4.0,0.0,12.727922061357855,6.0,11.045361017187261,,0.0,0.0,8.54400374531753,11.045361017187261,9.273618495495704,12.083045973594572,12.806248474865697,11.045361017187261,11.045361017187261,12.041594578792296,12.767145334803704,8.54400374531753,5.385164807134504,12.041594578792296,12.041594578792296,12.727922061357855,6.0,11.40175425099138,0.0,0.0,14.071247279470288,15.427248620541512,12.727922061357855,12.727922061357855,5.830951894845301,6.0,6.0,11.40175425099138,11.40175425099138,0.0,13.152946437965905,15.620499351813308,2.8284271247461903,16.401219466856727,4.0,13.0,13.0,13.0,5.385164807134504,18.193405398660254,17.69180601295413,8.0
commondreams,18.193405398660254,13.0,11.180339887498949,17.804493814764857,17.804493814764857,11.180339887498949,13.0,18.193405398660254,13.0,13.152946437965905,5.830951894845301,11.40175425099138,12.041594578792296,0.0,,6.708203932499369,5.0,5.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,8.54400374531753,11.045361017187261,9.273618495495704,12.083045973594572,12.806248474865697,11.045361017187261,11.045361017187261,12.041594578792296,12.767145334803704,8.54400374531753,5.385164807134504,12.041594578792296,12.041594578792296,12.727922061357855,6.0,11.40175425099138,0.0,0.0,14.071247279470288,15.427248620541512,12.727922061357855,12.727922061357855,5.830951894845301,6.0,6.0,11.40175425099138,11.40175425099138,0.0,13.152946437965905,15.620499351813308
conversation,17.69180601295413,11.180339887498949,17.804493814764857,10.198039027185569,10.198039027185569,17.804493814764857,11.180339887498949,17.69180601295413,13.0,15.620499351813308,6.0,0.0,12.767145334803704,0.0,6.708203932499369,,10.0,12.083045973594572,8.0,8.0,5.0,11.704699910719626,8.94427190999916,5.0,13.674794331177344,1.0,6.708203932499369,5.0,5.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,8.54400374531753,11.045361017187261,9.273618495495704,12.083045973594572,12.806248474865697,11.045361017187261,11.045361017187261,12.041594578792296,12.767145334803704,8.54400374531753,5.385164807134504,12.041594578792296,12.041594578792296,12.727922061357855,6.0,11.40175425099138,0.0,0.0,14.071247279470288
counterpunch,8.0,11.180339887498949,10.198039027185569,0.0,0.0,10.198039027185569,11.180339887498949,8.0,13.0,2.8284271247461903,6.0,0.0,8.54400374531753,8.54400374531753,5.0,10.0,,12.727922061357855,6.0,11.40175425099138,0.0,0.0,9.433981132056603,8.0,3.1622776601683795,9.0,8.0,9.055385138137417,10.0,12.083045973594572,8.0,8.0,5.0,11.704699910719626,8.94427190999916,5.0,13.674794331177344,1.0,6.708203932499369,5.0,5.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,8.54400374531753,11.045361017187261,9.273618495495704,12.083045973594572,12.806248474865697,11.045361017187261,11.045361017187261
dailycaller,13.0,17.804493814764857,0.0,13.0,13.0,0.0,17.804493814764857,13.0,5.385164807134504,16.401219466856727,11.40175425099138,14.071247279470288,5.385164807134504,11.045361017187261,5.0,12.083045973594572,12.727922061357855,,1.0,12.767145334803704,5.0,10.44030650891055,1.0,1.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,9.433981132056603,8.0,3.1622776601683795,9.0,8.0,9.055385138137417,10.0,12.083045973594572,8.0,8.0,5.0,11.704699910719626,8.94427190999916,5.0,13.674794331177344,1.0,6.708203932499369,5.0,5.0,11.045361017187261,12.041594578792296
dailykos,11.180339887498949,10.198039027185569,13.0,16.401219466856727,16.401219466856727,13.0,10.198039027185569,11.180339887498949,18.193405398660254,4.0,11.40175425099138,15.427248620541512,12.041594578792296,9.273618495495704,11.045361017187261,8.0,6.0,1.0,,10.0,3.0,13.076696830622021,3.0,8.54400374531753,3.0,3.0,1.0,8.06225774829855,4.0,1.0,11.0,11.313708498984761,1.0,12.767145334803704,5.0,10.44030650891055,1.0,1.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,9.433981132056603,8.0,3.1622776601683795,9.0,8.0,9.055385138137417,10.0
dailymail,11.180339887498949,0.0,16.401219466856727,13.0,13.0,16.401219466856727,0.0,11.180339887498949,17.69180601295413,13.0,0.0,12.727922061357855,12.041594578792296,12.083045973594572,12.041594578792296,8.0,11.40175425099138,12.767145334803704,10.0,,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,2.0,3.0,8.54400374531753,2.0,3.0,11.180339887498949,10.0,3.0,13.076696830622021,3.0,8.54400374531753,3.0,3.0,1.0,8.06225774829855,4.0,1.0,11.0,11.313708498984761,1.0,12.767145334803704,5.0,10.44030650891055,1.0,1.0,8.0,5.0,0.0
dailywire,17.804493814764857,13.0,13.0,16.278820596099706,16.278820596099706,13.0,13.0,17.804493814764857,8.0,13.0,13.152946437965905,12.727922061357855,12.727922061357855,12.806248474865697,0.0,5.0,0.0,5.0,3.0,11.045361017187261,,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,3.0,1.0,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,2.0,3.0,8.54400374531753,2.0,3.0,11.180339887498949,10.0,3.0,13.076696830622021,3.0,8.54400374531753,3.0
economist,10.198039027185569,16.401219466856727,16.278820596099706,13.0,13.0,16.278820596099706,16.401219466856727,10.198039027185569,13.0,13.0,15.620499351813308,5.830951894845301,6.0,11.045361017187261,12.727922061357855,11.704699910719626,0.0,10.44030650891055,13.076696830622021,12.041594578792296,0.0,,13.674794331177344,12.727922061357855,9.273618495495704,12.767145334803704,12.727922061357855,0.0,14.071247279470288,15.427248620541512,12.727922061357855,12.727922061357855,0.0,3.0,1.0,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,3.0,1.0,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0
federalist,0.0,13.0,13.0,17.204650534085253,17.204650534085253,13.0,13.0,0.0,11.180339887498949,5.385164807134504,2.8284271247461903,6.0,11.40175425099138,11.045361017187261,6.0,8.94427190999916,9.433981132056603,1.0,3.0,0.0,11.045361017187261,13.674794331177344,,2.0,7.810249675906654,6.0,5.0990195135927845,9.219544457292887,6.0,9.486832980505138,8.48528137423857,11.40175425099138,6.0,6.0,12.727922061357855,12.727922061357855,13.076696830622021,12.767145334803704,12.727922061357855,9.055385138137417,13.674794331177344,12.727922061357855,9.273618495495704,12.767145334803704,12.727922061357855,0.0,14.071247279470288,15.427248620541512,12.727922061357855,12.727922061357855,0.0,3.0,1.0,0.0,8.0,5.0
fox,13.0,16.278820596099706,17.204650534085253,14.7648230602334,14.7648230602334,17.204650534085253,16.278820596099706,13.0,11.180339887498949,18.193405398660254,16.401219466856727,6.0,0.0,12.041594578792296,11.40175425099138,5.0,8.0,1.0,8.54400374531753,12.727922061357855,12.041594578792296,12.727922061357855,2.0,,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,9.486832980505138,6.0,6.0,6.708203932499369,6.082762530298219,6.0,2.0,7.810249675906654,6.0,5.0990195135927845,9.219544457292887,6.0,9.486832980505138,8.48528137423857,11.40175425099138,6.0,6.0,12.727922061357855,12.727922061357855,13.076696830622021
freebeacon,16.401219466856727,13.0,14.7648230602334,18.193405398660254,18.193405398660254,14.7648230602334,13.0,16.401219466856727,17.804493814764857,17.69180601295413,4.0,11.40175425099138,0.0,12.767145334803704,0.0,13.674794331177344,3.1622776601683795,8.0,3.0,6.0,0.0,9.273618495495704,7.810249675906654,0.0,,1.0,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0,6.0,12.727922061357855,0.0,0.0,3.0,1.0,0.0,8.0,5.0,0.0,11.045361017187261,12.041594578792296,0.0,12.727922061357855,6.0,11.40175425099138,0.0,0.0
