,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,opednews,pbs,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj
businessinsider,23.769728648009426,15.811388300841896,21.047565179849187,18.49324200890693,18.49324200890693,21.047565179849187,15.811388300841896,23.769728648009426,15.811388300841896,25.317977802344327,,30.380915061926625,25.612496949731394,31.38470965295043,18.788294228055936,20.248456731316587,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187,13.564659966250536,9.899494936611665,19.621416870348583,20.445048300260872,15.132745950421556,17.4928556845359,5.916079783099616
buzzfeed,24.269322199023193,20.904544960366874,18.49324200890693,15.329709716755891,15.329709716755891,18.49324200890693,20.904544960366874,24.269322199023193,21.213203435596427,9.9498743710662,30.380915061926625,,22.693611435820433,17.578395831246947,10.770329614269007,3.3166247903554,12.884098726725126,17.26267650163207,30.380915061926625,25.612496949731394,31.38470965295043,18.788294228055936,20.248456731316587,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302,18.841443681416774,22.64950330581225,22.64950330581225,24.392621835300936,25.179356624028344,15.329709716755891,17.74823934929885,21.047565179849187
canary,21.470910553583888,21.047565179849187,15.329709716755891,14.212670403551895,14.212670403551895,15.329709716755891,21.047565179849187,21.470910553583888,23.600847442411894,15.811388300841896,25.612496949731394,22.693611435820433,,37.49666651850535,19.1049731745428,36.24913792078372,29.393876913398138,20.223748416156685,19.235384061671343,6.4031242374328485,22.693611435820433,17.578395831246947,10.770329614269007,3.3166247903554,12.884098726725126,17.26267650163207,30.380915061926625,25.612496949731394,31.38470965295043,18.788294228055936,20.248456731316587,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955,10.44030650891055,27.910571473905726,29.58039891549808,15.811388300841896,13.601470508735444,19.672315572906,16.55294535724685,24.186773244895647,21.236760581595302
cbs,15.811388300841896,18.49324200890693,14.212670403551895,19.235384061671343,19.235384061671343,14.212670403551895,18.49324200890693,15.811388300841896,19.44222209522358,13.0,31.38470965295043,17.578395831246947,37.49666651850535,,7.810249675906654,6.0,43.30127018922193,25.41653005427767,14.317821063276353,20.46948949045872,30.692018506445613,27.2213151776324,37.49666651850535,19.1049731745428,36.24913792078372,29.393876913398138,20.223748416156685,19.235384061671343,6.4031242374328485,22.693611435820433,17.578395831246947,10.770329614269007,3.3166247903554,12.884098726725126,17.26267650163207,30.380915061926625,25.612496949731394,31.38470965295043,18.788294228055936,20.248456731316587,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0,22.135943621178654,4.242640687119285,20.445048300260872,18.708286933869708,27.0,19.209372712298546,16.673332000533065,25.179356624028344,26.570660511172846,22.293496809607955
cnbc,20.904544960366874,15.329709716755891,19.235384061671343,26.019223662515376,26.019223662515376,19.235384061671343,15.329709716755891,20.904544960366874,23.769728648009426,26.570660511172846,18.788294228055936,10.770329614269007,19.1049731745428,7.810249675906654,,34.68429039204925,29.189039038652847,29.068883707497267,33.61547262794322,11.704699910719626,8.366600265340756,29.614185789921695,22.293496809607955,10.295630140987,7.810249675906654,6.0,43.30127018922193,25.41653005427767,14.317821063276353,20.46948949045872,30.692018506445613,27.2213151776324,37.49666651850535,19.1049731745428,36.24913792078372,29.393876913398138,20.223748416156685,19.235384061671343,6.4031242374328485,22.693611435820433,17.578395831246947,10.770329614269007,3.3166247903554,12.884098726725126,17.26267650163207,30.380915061926625,25.612496949731394,31.38470965295043,18.788294228055936,20.248456731316587,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895,19.235384061671343,26.019223662515376,21.42428528562855,13.564659966250536,11.916375287812984,17.944358444926362,21.047565179849187,15.165750888103101,12.529964086141668,9.695359714832659,19.0
cnn,21.047565179849187,14.212670403551895,26.019223662515376,21.42428528562855,21.42428528562855,26.019223662515376,14.212670403551895,21.047565179849187,24.269322199023193,15.811388300841896,20.248456731316587,3.3166247903554,36.24913792078372,6.0,34.68429039204925,,24.758836806279895,35.185224171518364,29.68164415931166,29.154759474226502,30.083217912982647,28.160255680657446,32.155870381627054,26.13426869074396,14.0,24.041630560342615,34.68429039204925,29.189039038652847,29.068883707497267,33.61547262794322,11.704699910719626,8.366600265340756,29.614185789921695,22.293496809607955,10.295630140987,7.810249675906654,6.0,43.30127018922193,25.41653005427767,14.317821063276353,20.46948949045872,30.692018506445613,27.2213151776324,37.49666651850535,19.1049731745428,36.24913792078372,29.393876913398138,20.223748416156685,19.235384061671343,6.4031242374328485,22.693611435820433,17.578395831246947,10.770329614269007,3.3166247903554,12.884098726725126,17.26267650163207,30.380915061926625,25.612496949731394,31.38470965295043,18.788294228055936,20.248456731316587,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896,21.213203435596427,23.600847442411894,19.44222209522358,23.769728648009426,24.269322199023193,21.470910553583888,15.811388300841896,20.904544960366874,21.047565179849187,18.49324200890693,15.329709716755891,14.212670403551895
commondreams,18.49324200890693,19.235384061671343,21.42428528562855,13.564659966250536,13.564659966250536,21.42428528562855,19.235384061671343,18.49324200890693,21.470910553583888,21.213203435596427,25.317977802344327,12.884098726725126,29.393876913398138,43.30127018922193,29.189039038652847,24.758836806279895,,23.853720883753127,30.740852297878796,29.832867780352597,20.615528128088304,21.02379604162864,1.0,30.364452901377952,29.154759474226502,32.07802986469088,26.645825188948457,15.0,24.758836806279895,35.185224171518364,29.68164415931166,29.154759474226502,30.083217912982647,28.160255680657446,32.155870381627054,26.13426869074396,14.0,24.041630560342615,34.68429039204925,29.189039038652847,29.068883707497267,33.61547262794322,11.704699910719626,8.366600265340756,29.614185789921695,22.293496809607955,10.295630140987,7.810249675906654,6.0,43.30127018922193,25.41653005427767,14.317821063276353,20.46948949045872,30.692018506445613,27.2213151776324,37.49666651850535,19.1049731745428,36.24913792078372,29.393876913398138,20.223748416156685,19.235384061671343,6.4031242374328485,22.693611435820433,17.578395831246947,10.770329614269007,3.3166247903554,12.884098726725126,17.26267650163207,30.380915061926625,25.612496949731394,31.38470965295043,18.788294228055936,20.248456731316587,25.317977802344327,9.9498743710662,15.811388300841896,13.0,26.570660511172846,15.811388300841896
consortium,15.329709716755891,26.019223662515376,13.564659966250536,11.916375287812984,11.916375287812984,13.564659966250536,26.019223662515376,15.329709716755891,15.811388300841896,23.600847442411894,9.9498743710662,17.26267650163207,20.223748416156685,25.41653005427767,29.068883707497267,35.185224171518364,23.853720883753127,,18.05547008526779,7.0,18.627936010197157,27.09243436828813,20.615528128088304,27.459060435491963,20.09975124224178,20.024984394500787,22.135943621178654,31.906112267087632,25.317977802344327,19.44222209522358,23.853720883753127,30.740852297878796,29.832867780352597,20.615528128088304,21.02379604162864,1.0,30.364452901377952,29.154759474226502,32.07802986469088,26.645825188948457,15.0,24.758836806279895,35.185224171518364,29.68164415931166,29.154759474226502,30.083217912982647,28.160255680657446,32.155870381627054,26.13426869074396,14.0,24.041630560342615,34.68429039204925,29.189039038652847,29.068883707497267,33.61547262794322,11.704699910719626,8.366600265340756,29.614185789921695,22.293496809607955,10.295630140987,7.810249675906654,6.0,43.30127018922193,25.41653005427767,14.317821063276353,20.46948949045872,30.692018506445613,27.2213151776324,37.49666651850535,19.1049731745428,36.24913792078372,29.393876913398138,20.223748416156685,19.235384061671343,6.4031242374328485,22.693611435820433,17.578395831246947,10.770329614269007,3.3166247903554
conversation,14.212670403551895,21.42428528562855,11.916375287812984,17.944358444926362,17.944358444926362,11.916375287812984,21.42428528562855,14.212670403551895,20.904544960366874,19.44222209522358,15.811388300841896,30.380915061926625,19.235384061671343,14.317821063276353,33.61547262794322,29.68164415931166,30.740852297878796,18.05547008526779,,18.547236990991408,13.601470508735444,33.91164991562634,31.11269837220809,18.24828759089466,11.224972160321824,13.601470508735444,18.384776310850235,16.55294535724685,15.652475842498529,25.41653005427767,14.560219778561036,32.90896534380867,18.05547008526779,7.0,18.627936010197157,27.09243436828813,20.615528128088304,27.459060435491963,20.09975124224178,20.024984394500787,22.135943621178654,31.906112267087632,25.317977802344327,19.44222209522358,23.853720883753127,30.740852297878796,29.832867780352597,20.615528128088304,21.02379604162864,1.0,30.364452901377952,29.154759474226502,32.07802986469088,26.645825188948457,15.0,24.758836806279895,35.185224171518364,29.68164415931166,29.154759474226502,30.083217912982647,28.160255680657446,32.155870381627054,26.13426869074396,14.0,24.041630560342615,34.68429039204925,29.189039038652847,29.068883707497267,33.61547262794322,11.704699910719626,8.366600265340756,29.614185789921695,22.293496809607955,10.295630140987,7.810249675906654,6.0,43.30127018922193,25.41653005427767,14.317821063276353
counterpunch,19.235384061671343,13.564659966250536,17.944358444926362,21.047565179849187,21.047565179849187,17.944358444926362,13.564659966250536,19.235384061671343,21.047565179849187,23.769728648009426,13.0,25.612496949731394,6.4031242374328485,20.46948949045872,11.704699910719626,29.154759474226502,29.832867780352597,7.0,18.547236990991408,,36.810324638611924,10.770329614269007,16.0312195418814,27.748873851023216,25.69046515733026,22.38302928559939,17.4928556845359,8.774964387392123,27.910571473905726,19.72308292331602,35.0,34.72751070837067,11.704699910719626,36.26292872893749,18.547236990991408,13.601470508735444,33.91164991562634,31.11269837220809,18.24828759089466,11.224972160321824,13.601470508735444,18.384776310850235,16.55294535724685,15.652475842498529,25.41653005427767,14.560219778561036,32.90896534380867,18.05547008526779,7.0,18.627936010197157,27.09243436828813,20.615528128088304,27.459060435491963,20.09975124224178,20.024984394500787,22.135943621178654,31.906112267087632,25.317977802344327,19.44222209522358,23.853720883753127,30.740852297878796,29.832867780352597,20.615528128088304,21.02379604162864,1.0,30.364452901377952,29.154759474226502,32.07802986469088,26.645825188948457,15.0,24.758836806279895,35.185224171518364,29.68164415931166,29.154759474226502,30.083217912982647,28.160255680657446,32.155870381627054,26.13426869074396,14.0
