,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj
cnn,65.99533978278531,39.66545799200283,86.50878626788017,27.34759060425852,27.34759060425852,86.50878626788017,39.66545799200283,65.99533978278531,74.5490352639489,74.5490352639489,100.0,56.77606737954388,80.36740026988936,42.156898327156554,78.66851810318029,39.39986077852898,74.5490352639489,56.03924272863898,80.09659299822333,38.91593183736332,16.449248648549762,74.5490352639489,76.17875275875589,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063,69.56771127565096,93.0588277992588,97.68627593308626,93.0588277992588,44.27814563806055,60.66669086246645,67.52533519203436
commondreams,44.27814563806055,91.65774923946745,27.34759060425852,94.82635570520361,94.82635570520361,27.34759060425852,91.65774923946745,44.27814563806055,76.17875275875589,56.03924272863898,56.77606737954388,100.0,44.37430076468648,89.65271141040722,87.54021458143603,44.954758727717724,83.15583453939496,36.80525324735749,56.77606737954388,80.36740026988936,42.156898327156554,78.66851810318029,39.39986077852898,74.5490352639489,56.03924272863898,80.09659299822333,38.91593183736332,16.449248648549762,74.5490352639489,76.17875275875589,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852,94.82635570520361,71.380813850743,88.43137966543131,67.77355282975994,43.27835727213709,83.15583453939496,11.865636934900392,85.73724696291063
conversation,35.05067038406874,86.50878626788017,94.82635570520361,71.380813850743,71.380813850743,94.82635570520361,86.50878626788017,35.05067038406874,64.08134338628993,80.09659299822333,80.36740026988936,44.37430076468648,100.0,31.13026292176775,91.65774923946745,41.42118543312815,83.80393153160384,83.63950022490779,40.33462332769919,90.74510373234504,44.37430076468648,89.65271141040722,87.54021458143603,44.954758727717724,83.15583453939496,36.80525324735749,56.77606737954388,80.36740026988936,42.156898327156554,78.66851810318029,39.39986077852898,74.5490352639489,56.03924272863898,80.09659299822333,38.91593183736332,16.449248648549762,74.5490352639489,76.17875275875589,64.08134338628993,6.3870559289766815,65.99533978278531,44.27814563806055,35.05067038406874,39.66545799200283,91.65774923946745,86.50878626788017,27.34759060425852
counterpunch,39.66545799200283,27.34759060425852,71.380813850743,88.43137966543131,88.43137966543131,71.380813850743,27.34759060425852,39.66545799200283,6.3870559289766815,38.91593183736332,42.156898327156554,89.65271141040722,31.13026292176775,100.0,65.76001060657772,69.8327289960014,33.987866925374256,39.79869600962677,70.64213276976082,36.00555430954088,49.73304668781806,87.54021458143603,31.13026292176775,91.65774923946745,41.42118543312815,83.80393153160384,83.63950022490779,40.33462332769919,90.74510373234504,44.37430076468648,89.65271141040722,87.54021458143603,44.954758727717724,83.15583453939496,36.80525324735749,56.77606737954388,80.36740026988936,42.156898327156554,78.66851810318029,39.39986077852898,74.5490352639489,56.03924272863898,80.09659299822333,38.91593183736332,16.449248648549762,74.5490352639489,76.17875275875589
dailycaller,91.65774923946745,94.82635570520361,88.43137966543131,67.77355282975994,67.77355282975994,88.43137966543131,94.82635570520361,91.65774923946745,65.99533978278531,16.449248648549762,78.66851810318029,87.54021458143603,91.65774923946745,65.76001060657772,100.0,85.73724696291063,60.66669086246645,73.01757253576034,59.262684085436945,72.0431657292691,76.29138340031912,67.69060173457126,68.87202625507615,88.2022758337376,65.76001060657772,69.8327289960014,33.987866925374256,39.79869600962677,70.64213276976082,36.00555430954088,49.73304668781806,87.54021458143603,31.13026292176775,91.65774923946745,41.42118543312815,83.80393153160384,83.63950022490779,40.33462332769919,90.74510373234504,44.37430076468648,89.65271141040722,87.54021458143603,44.954758727717724,83.15583453939496,36.80525324735749,56.77606737954388,80.36740026988936
dailykos,86.50878626788017,71.380813850743,67.77355282975994,43.27835727213709,43.27835727213709,67.77355282975994,71.380813850743,86.50878626788017,44.27814563806055,74.5490352639489,39.39986077852898,44.954758727717724,41.42118543312815,69.8327289960014,85.73724696291063,100.0,68.19155297838017,78.2953443453301,46.58353196049138,84.30755988829243,81.2032168226623,54.54253464702508,76.40455166747519,80.23153290665772,56.03924272863898,74.13177852601804,85.73724696291063,60.66669086246645,73.01757253576034,59.262684085436945,72.0431657292691,76.29138340031912,67.69060173457126,68.87202625507615,88.2022758337376,65.76001060657772,69.8327289960014,33.987866925374256,39.79869600962677,70.64213276976082,36.00555430954088,49.73304668781806,87.54021458143603,31.13026292176775,91.65774923946745,41.42118543312815,83.80393153160384
dailymail,27.34759060425852,88.43137966543131,43.27835727213709,83.15583453939496,83.15583453939496,43.27835727213709,88.43137966543131,27.34759060425852,35.05067038406874,76.17875275875589,74.5490352639489,83.15583453939496,83.80393153160384,33.987866925374256,60.66669086246645,68.19155297838017,100.0,36.72059849171886,81.7817184788306,76.74736090592295,39.84317426024282,80.23153290665772,80.09659299822333,70.18975069548344,37.91626846244333,80.64199560783423,76.74736090592295,47.18826617955006,68.19155297838017,78.2953443453301,46.58353196049138,84.30755988829243,81.2032168226623,54.54253464702508,76.40455166747519,80.23153290665772,56.03924272863898,74.13177852601804,85.73724696291063,60.66669086246645,73.01757253576034,59.262684085436945,72.0431657292691,76.29138340031912,67.69060173457126,68.87202625507615,88.2022758337376
dailywire,94.82635570520361,67.77355282975994,83.15583453939496,11.865636934900392,11.865636934900392,83.15583453939496,67.77355282975994,94.82635570520361,39.66545799200283,64.08134338628993,56.03924272863898,36.80525324735749,83.63950022490779,39.79869600962677,73.01757253576034,78.2953443453301,36.72059849171886,100.0,80.23153290665772,30.088768428915035,79.69715371057988,70.9169394469065,32.90200205950161,78.2953443453301,81.34616021409988,79.17648339777637,65.76001060657772,34.190919184560705,85.18493734841294,84.30755988829243,36.72059849171886,81.7817184788306,76.74736090592295,39.84317426024282,80.23153290665772,80.09659299822333,70.18975069548344,37.91626846244333,80.64199560783423,76.74736090592295,47.18826617955006,68.19155297838017,78.2953443453301,46.58353196049138,84.30755988829243,81.2032168226623,54.54253464702508
economist,71.380813850743,43.27835727213709,11.865636934900392,85.73724696291063,85.73724696291063,11.865636934900392,43.27835727213709,71.380813850743,91.65774923946745,6.3870559289766815,80.09659299822333,56.77606737954388,40.33462332769919,70.64213276976082,59.262684085436945,46.58353196049138,81.7817184788306,80.23153290665772,100.0,33.825873717189424,42.156898327156554,34.844938701218574,45.98556779424933,44.08633145853821,46.18415093786615,26.178060165987716,93.0588277992588,77.09530031487091,72.23531119703514,59.5263588036405,27.34759060425852,82.68567450815114,80.23153290665772,30.088768428915035,79.69715371057988,70.9169394469065,32.90200205950161,78.2953443453301,81.34616021409988,79.17648339777637,65.76001060657772,34.190919184560705,85.18493734841294,84.30755988829243,36.72059849171886,81.7817184788306,76.74736090592295
eff,88.43137966543131,83.15583453939496,85.73724696291063,69.56771127565096,69.56771127565096,85.73724696291063,83.15583453939496,88.43137966543131,86.50878626788017,65.99533978278531,38.91593183736332,80.36740026988936,90.74510373234504,36.00555430954088,72.0431657292691,84.30755988829243,76.74736090592295,30.088768428915035,33.825873717189424,100.0,63.125306229268496,38.34891297755366,42.808410195855885,74.97324771840232,37.44381540356394,53.37975185101185,65.29413899629394,36.97490388028466,29.897597080592554,34.51711242385158,26.25061245853699,45.3451554364918,47.748753895375074,54.190600629741816,33.825873717189424,42.156898327156554,34.844938701218574,45.98556779424933,44.08633145853821,46.18415093786615,26.178060165987716,93.0588277992588,77.09530031487091,72.23531119703514,59.5263588036405,27.34759060425852,82.68567450815114
