,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj
buzzfeed,5.0,7.211102550927978,4.0,8.246211251235321,8.246211251235321,4.0,7.211102550927978,5.0,13.416407864998739,7.0,,12.529964086141668,11.180339887498949,12.84523257866513,17.916472867168917,3.0,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956,15.362291495737216,11.704699910719626,12.806248474865697,10.63014581273465,12.041594578792296,14.45683229480096,5.0
canary,13.601470508735444,11.704699910719626,8.246211251235321,13.30413469565007,13.30413469565007,8.246211251235321,11.704699910719626,13.601470508735444,8.54400374531753,19.8997487421324,12.529964086141668,,16.881943016134134,13.0,14.2828568570857,16.0,6.0,10.770329614269007,12.529964086141668,11.180339887498949,12.84523257866513,17.916472867168917,3.0,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753,13.416407864998739,12.36931687685298,10.246950765959598,20.322401432901575,10.63014581273465,3.1622776601683795,7.280109889280518,14.422205101855956
cbs,19.8997487421324,4.0,13.30413469565007,10.63014581273465,10.63014581273465,13.30413469565007,4.0,19.8997487421324,8.48528137423857,14.696938456699069,11.180339887498949,16.881943016134134,,14.628738838327793,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,16.881943016134134,13.0,14.2828568570857,16.0,6.0,10.770329614269007,12.529964086141668,11.180339887498949,12.84523257866513,17.916472867168917,3.0,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518,12.041594578792296,2.23606797749979,11.313708498984761,14.866068747318506,10.63014581273465,10.0,13.416407864998739,13.038404810405298,8.54400374531753
cnbc,7.211102550927978,8.246211251235321,10.63014581273465,8.246211251235321,8.246211251235321,10.63014581273465,8.246211251235321,7.211102550927978,10.246950765959598,10.0,12.84523257866513,13.0,14.628738838327793,,15.0,9.219544457292887,19.1049731745428,16.911534525287763,16.881943016134134,14.866068747318506,15.297058540778355,15.937377450509228,14.628738838327793,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,16.881943016134134,13.0,14.2828568570857,16.0,6.0,10.770329614269007,12.529964086141668,11.180339887498949,12.84523257866513,17.916472867168917,3.0,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0,6.0,20.322401432901575,7.615773105863909,10.0,8.54400374531753,16.522711641858304,7.280109889280518,12.041594578792296,12.041594578792296,7.280109889280518
cnn,11.704699910719626,13.30413469565007,8.246211251235321,9.219544457292887,9.219544457292887,8.246211251235321,13.30413469565007,11.704699910719626,5.0,12.041594578792296,17.916472867168917,14.2828568570857,9.848857801796104,15.0,,12.727922061357855,11.224972160321824,11.224972160321824,19.1049731745428,0.0,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,19.1049731745428,16.911534525287763,16.881943016134134,14.866068747318506,15.297058540778355,15.937377450509228,14.628738838327793,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,16.881943016134134,13.0,14.2828568570857,16.0,6.0,10.770329614269007,12.529964086141668,11.180339887498949,12.84523257866513,17.916472867168917,3.0,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321,13.30413469565007,10.63014581273465,8.246211251235321,9.219544457292887,9.848857801796104,1.0,18.788294228055936,15.0,8.06225774829855,17.11724276862369,1.0
commondreams,4.0,10.63014581273465,9.219544457292887,9.848857801796104,9.848857801796104,9.219544457292887,10.63014581273465,4.0,13.601470508735444,13.416407864998739,3.0,16.0,9.899494936611665,9.219544457292887,12.727922061357855,,2.8284271247461903,15.652475842498529,5.385164807134504,5.385164807134504,7.14142842854285,18.49324200890693,7.14142842854285,14.89966442575134,3.605551275463989,10.246950765959598,12.727922061357855,11.224972160321824,11.224972160321824,19.1049731745428,0.0,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,19.1049731745428,16.911534525287763,16.881943016134134,14.866068747318506,15.297058540778355,15.937377450509228,14.628738838327793,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,16.881943016134134,13.0,14.2828568570857,16.0,6.0,10.770329614269007,12.529964086141668,11.180339887498949,12.84523257866513,17.916472867168917,3.0,7.0,19.8997487421324,14.696938456699069,10.0,12.041594578792296,13.416407864998739,8.54400374531753,8.48528137423857,10.246950765959598,5.0,13.601470508735444,19.8997487421324,7.211102550927978,11.704699910719626,4.0,8.246211251235321
consortium,8.246211251235321,8.246211251235321,9.848857801796104,1.0,1.0,9.848857801796104,8.246211251235321,8.246211251235321,19.8997487421324,8.54400374531753,7.0,6.0,12.727922061357855,19.1049731745428,11.224972160321824,2.8284271247461903,,16.30950643030009,9.486832980505138,16.522711641858304,12.36931687685298,3.605551275463989,8.06225774829855,9.899494936611665,15.0,9.899494936611665,11.180339887498949,9.16515138991168,2.8284271247461903,15.652475842498529,5.385164807134504,5.385164807134504,7.14142842854285,18.49324200890693,7.14142842854285,14.89966442575134,3.605551275463989,10.246950765959598,12.727922061357855,11.224972160321824,11.224972160321824,19.1049731745428,0.0,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,19.1049731745428,16.911534525287763,16.881943016134134,14.866068747318506,15.297058540778355,15.937377450509228,14.628738838327793,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,16.881943016134134,13.0,14.2828568570857,16.0,6.0,10.770329614269007,12.529964086141668,11.180339887498949,12.84523257866513,17.916472867168917,3.0,7.0,19.8997487421324,14.696938456699069,10.0
conversation,13.30413469565007,9.219544457292887,1.0,18.788294228055936,18.788294228055936,1.0,9.219544457292887,13.30413469565007,7.211102550927978,8.48528137423857,19.8997487421324,10.770329614269007,10.246950765959598,16.911534525287763,11.224972160321824,15.652475842498529,16.30950643030009,,14.696938456699069,6.4031242374328485,4.58257569495584,15.620499351813308,4.898979485566356,9.16515138991168,8.602325267042627,14.798648586948742,12.0,14.866068747318506,12.0,5.0,16.30950643030009,9.486832980505138,16.522711641858304,12.36931687685298,3.605551275463989,8.06225774829855,9.899494936611665,15.0,9.899494936611665,11.180339887498949,9.16515138991168,2.8284271247461903,15.652475842498529,5.385164807134504,5.385164807134504,7.14142842854285,18.49324200890693,7.14142842854285,14.89966442575134,3.605551275463989,10.246950765959598,12.727922061357855,11.224972160321824,11.224972160321824,19.1049731745428,0.0,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,19.1049731745428,16.911534525287763,16.881943016134134,14.866068747318506,15.297058540778355,15.937377450509228,14.628738838327793,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,16.881943016134134,13.0
counterpunch,10.63014581273465,9.848857801796104,18.788294228055936,15.0,15.0,18.788294228055936,9.848857801796104,10.63014581273465,11.704699910719626,10.246950765959598,14.696938456699069,12.529964086141668,15.0,16.881943016134134,19.1049731745428,5.385164807134504,9.486832980505138,14.696938456699069,,10.04987562112089,2.449489742783178,17.74823934929885,15.066519173319364,13.341664064126334,18.05547008526779,8.12403840463596,12.36931687685298,4.123105625617661,6.782329983125268,11.357816691600547,14.7648230602334,11.357816691600547,14.696938456699069,6.4031242374328485,4.58257569495584,15.620499351813308,4.898979485566356,9.16515138991168,8.602325267042627,14.798648586948742,12.0,14.866068747318506,12.0,5.0,16.30950643030009,9.486832980505138,16.522711641858304,12.36931687685298,3.605551275463989,8.06225774829855,9.899494936611665,15.0,9.899494936611665,11.180339887498949,9.16515138991168,2.8284271247461903,15.652475842498529,5.385164807134504,5.385164807134504,7.14142842854285,18.49324200890693,7.14142842854285,14.89966442575134,3.605551275463989,10.246950765959598,12.727922061357855,11.224972160321824,11.224972160321824,19.1049731745428,0.0,9.848857801796104,9.899494936611665,12.727922061357855,10.246950765959598,15.0,9.219544457292887,19.1049731745428
dailycaller,8.246211251235321,1.0,15.0,8.06225774829855,8.06225774829855,15.0,1.0,8.246211251235321,4.0,5.0,10.0,11.180339887498949,9.219544457292887,14.866068747318506,0.0,5.385164807134504,16.522711641858304,6.4031242374328485,10.04987562112089,,10.246950765959598,12.569805089976535,10.246950765959598,15.620499351813308,15.748015748023622,8.06225774829855,18.138357147217054,11.357816691600547,16.30950643030009,7.280109889280518,13.076696830622021,15.811388300841896,10.04987562112089,17.4928556845359,10.04987562112089,2.449489742783178,17.74823934929885,15.066519173319364,13.341664064126334,18.05547008526779,8.12403840463596,12.36931687685298,4.123105625617661,6.782329983125268,11.357816691600547,14.7648230602334,11.357816691600547,14.696938456699069,6.4031242374328485,4.58257569495584,15.620499351813308,4.898979485566356,9.16515138991168,8.602325267042627,14.798648586948742,12.0,14.866068747318506,12.0,5.0,16.30950643030009,9.486832980505138,16.522711641858304,12.36931687685298,3.605551275463989,8.06225774829855,9.899494936611665,15.0,9.899494936611665,11.180339887498949,9.16515138991168,2.8284271247461903,15.652475842498529,5.385164807134504,5.385164807134504,7.14142842854285,18.49324200890693,7.14142842854285
