,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo
buzzfeed,69.74413182725523,67.60786306320767,19.019657658019185,30.050492361677893,30.050492361677893,19.019657658019185,67.60786306320767,69.74413182725523,52.245273337296226,71.66278315232111,100.0,78.66851810318029,78.92097056791478,62.26430245273031,81.34616021409988,73.51821764733582,71.66278315232111,68.44501077874139,58.0328465342071,80.78076445356649,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559,55.31456603583993,63.4168103570238,53.437201346832495,38.218801498977875,47.39138898534962,63.4168103570238,66.7918123663747
canary,53.437201346832495,83.80393153160384,30.050492361677893,24.919743155206998,24.919743155206998,30.050492361677893,83.80393153160384,53.437201346832495,62.76413508491707,68.44501077874139,78.66851810318029,100.0,60.59869892038341,41.92598682350269,58.288746197337225,48.21184645147368,30.43420072862294,73.01757253576034,78.66851810318029,78.92097056791478,62.26430245273031,81.34616021409988,73.51821764733582,71.66278315232111,68.44501077874139,58.0328465342071,80.78076445356649,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852,28.23724549866523,48.993009674177976,28.686234814553135,97.68627593308626,42.11064234081777,66.87251282013307,60.59869892038341,71.7573984977559
cbs,51.85452095955154,19.019657658019185,24.919743155206998,51.41179459481151,51.41179459481151,24.919743155206998,19.019657658019185,51.85452095955154,8.118640877620942,58.0328465342071,78.92097056791478,60.59869892038341,100.0,63.343716998149176,55.254706084068175,60.32789641324954,55.254706084068175,58.0328465342071,70.64213276976082,61.14596579112963,60.59869892038341,41.92598682350269,58.288746197337225,48.21184645147368,30.43420072862294,73.01757253576034,78.66851810318029,78.92097056791478,62.26430245273031,81.34616021409988,73.51821764733582,71.66278315232111,68.44501077874139,58.0328465342071,80.78076445356649,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893,24.919743155206998,51.41179459481151,95.37255186617253,50.700843290697215,5.052702548403798,53.66771166687151,22.949167200361988,31.05257565840135,27.34759060425852
cnn,67.60786306320767,30.050492361677893,51.41179459481151,95.37255186617253,95.37255186617253,51.41179459481151,30.050492361677893,67.60786306320767,46.683844665052845,80.78076445356649,62.26430245273031,41.92598682350269,63.343716998149176,100.0,64.68253490875809,73.01757253576034,67.52533519203436,63.343716998149176,85.9261659403279,78.17237080795053,88.2022758337376,77.56761289040577,63.343716998149176,55.254706084068175,60.32789641324954,55.254706084068175,58.0328465342071,70.64213276976082,61.14596579112963,60.59869892038341,41.92598682350269,58.288746197337225,48.21184645147368,30.43420072862294,73.01757253576034,78.66851810318029,78.92097056791478,62.26430245273031,81.34616021409988,73.51821764733582,71.66278315232111,68.44501077874139,58.0328465342071,80.78076445356649,13.15055237675644,52.245273337296226,62.76413508491707,8.118640877620942,46.683844665052845,69.74413182725523,53.437201346832495,51.85452095955154,67.60786306320767,83.80393153160384,19.019657658019185,30.050492361677893
commondreams,83.80393153160384,24.919743155206998,95.37255186617253,50.700843290697215,50.700843290697215,95.37255186617253,24.919743155206998,83.80393153160384,69.74413182725523,13.15055237675644,81.34616021409988,58.288746197337225,55.254706084068175,64.68253490875809,100.0,82.68567450815114,57.46270058476025,43.847485140436206,52.18925604336023,69.47988341994812,26.83362071404759,45.73836086332522,54.54253464702508,45.98556779424933,64.68253490875809,73.01757253576034,67.52533519203436,63.343716998149176,85.9261659403279,78.17237080795053,88.2022758337376,77.56761289040577,63.343716998149176,55.254706084068175,60.32789641324954,55.254706084068175,58.0328465342071,70.64213276976082,61.14596579112963,60.59869892038341,41.92598682350269,58.288746197337225,48.21184645147368,30.43420072862294,73.01757253576034,78.66851810318029,78.92097056791478,62.26430245273031,81.34616021409988,73.51821764733582,71.66278315232111,68.44501077874139,58.0328465342071,80.78076445356649,13.15055237675644,52.245273337296226
consortium,19.019657658019185,51.41179459481151,50.700843290697215,5.052702548403798,5.052702548403798,50.700843290697215,51.41179459481151,19.019657658019185,53.437201346832495,52.245273337296226,73.51821764733582,48.21184645147368,60.32789641324954,73.01757253576034,82.68567450815114,100.0,76.74736090592295,85.36672414280952,79.56574233035035,64.08134338628993,30.24208271776885,77.56761289040577,46.985921630633634,64.08134338628993,75.84401156437751,66.55087918818326,82.68567450815114,57.46270058476025,43.847485140436206,52.18925604336023,69.47988341994812,26.83362071404759,45.73836086332522,54.54253464702508,45.98556779424933,64.68253490875809,73.01757253576034,67.52533519203436,63.343716998149176,85.9261659403279,78.17237080795053,88.2022758337376,77.56761289040577,63.343716998149176,55.254706084068175,60.32789641324954,55.254706084068175,58.0328465342071,70.64213276976082,61.14596579112963,60.59869892038341,41.92598682350269,58.288746197337225,48.21184645147368,30.43420072862294,73.01757253576034
conversation,30.050492361677893,95.37255186617253,5.052702548403798,53.66771166687151,53.66771166687151,5.052702548403798,95.37255186617253,30.050492361677893,51.85452095955154,62.76413508491707,71.66278315232111,30.43420072862294,55.254706084068175,67.52533519203436,57.46270058476025,76.74736090592295,100.0,56.10017242842855,35.21572612641535,36.8476231795445,59.99197082725847,46.13443651704562,76.40455166747519,52.30135641790498,96.72790004498155,68.19155297838017,63.784489936425274,88.43137966543131,76.74736090592295,85.36672414280952,79.56574233035035,64.08134338628993,30.24208271776885,77.56761289040577,46.985921630633634,64.08134338628993,75.84401156437751,66.55087918818326,82.68567450815114,57.46270058476025,43.847485140436206,52.18925604336023,69.47988341994812,26.83362071404759,45.73836086332522,54.54253464702508,45.98556779424933,64.68253490875809,73.01757253576034,67.52533519203436,63.343716998149176,85.9261659403279,78.17237080795053,88.2022758337376,77.56761289040577,63.343716998149176
counterpunch,24.919743155206998,50.700843290697215,53.66771166687151,22.949167200361988,22.949167200361988,53.66771166687151,50.700843290697215,24.919743155206998,67.60786306320767,8.118640877620942,68.44501077874139,73.01757253576034,58.0328465342071,63.343716998149176,43.847485140436206,85.36672414280952,56.10017242842855,100.0,43.609650467986874,54.54253464702508,34.150258642642825,35.838466699584046,59.328442507507816,45.73836086332522,51.19193733891856,34.844938701218574,37.48661813494996,48.00551832937459,52.92267966487727,43.79983768607648,56.10017242842855,35.21572612641535,36.8476231795445,59.99197082725847,46.13443651704562,76.40455166747519,52.30135641790498,96.72790004498155,68.19155297838017,63.784489936425274,88.43137966543131,76.74736090592295,85.36672414280952,79.56574233035035,64.08134338628993,30.24208271776885,77.56761289040577,46.985921630633634,64.08134338628993,75.84401156437751,66.55087918818326,82.68567450815114,57.46270058476025,43.847485140436206,52.18925604336023,69.47988341994812
dailycaller,51.41179459481151,5.052702548403798,22.949167200361988,31.05257565840135,31.05257565840135,22.949167200361988,5.052702548403798,51.41179459481151,83.80393153160384,46.683844665052845,58.0328465342071,78.66851810318029,70.64213276976082,85.9261659403279,52.18925604336023,79.56574233035035,35.21572612641535,43.609650467986874,100.0,71.85233188065581,28.38659582600769,46.53344618480014,51.13712759378684,43.65713708654133,66.23230894309214,72.0431657292691,96.72790004498155,50.32223751362079,33.382423498529036,38.522823301504914,47.18826617955006,54.190600629741816,43.609650467986874,54.54253464702508,34.150258642642825,35.838466699584046,59.328442507507816,45.73836086332522,51.19193733891856,34.844938701218574,37.48661813494996,48.00551832937459,52.92267966487727,43.79983768607648,56.10017242842855,35.21572612641535,36.8476231795445,59.99197082725847,46.13443651704562,76.40455166747519,52.30135641790498,96.72790004498155,68.19155297838017,63.784489936425274,88.43137966543131,76.74736090592295
dailykos,95.37255186617253,53.66771166687151,31.05257565840135,27.34759060425852,27.34759060425852,31.05257565840135,53.66771166687151,95.37255186617253,19.019657658019185,69.74413182725523,80.78076445356649,78.92097056791478,61.14596579112963,78.17237080795053,69.47988341994812,64.08134338628993,36.8476231795445,54.54253464702508,71.85233188065581,100.0,81.92923735624956,65.06353273179997,77.09530031487091,82.99766989139266,60.87137556039911,73.31683237152104,69.56771127565096,51.13712759378684,45.4431911110482,44.182156153709926,52.07741789299122,29.02484072997997,91.34283725407558,51.41179459481151,71.85233188065581,28.38659582600769,46.53344618480014,51.13712759378684,43.65713708654133,66.23230894309214,72.0431657292691,96.72790004498155,50.32223751362079,33.382423498529036,38.522823301504914,47.18826617955006,54.190600629741816,43.609650467986874,54.54253464702508,34.150258642642825,35.838466699584046,59.328442507507816,45.73836086332522,51.19193733891856,34.844938701218574,37.48661813494996
