,aljazeera,alternet,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,independent,infowars,intercept,motherjones,nationalreview,nbc,npr,nypost,nytimes,observerny,pjmedia,rawstory,redstate,rt,slate,spectator,time,townhall,usatoday,vice,vox,wapo,wsj
commondreams,68.95813423122166,93.0588277992588,42.156898327156554,100.0,100.0,42.156898327156554,93.0588277992588,68.95813423122166,96.72790004498155,60.058929918827644,100.0,49.467503618184885,42.90209017652353,42.90209017652353,64.75840495361658,41.01137916868797,60.058929918827644,69.13107076215275,90.18370013494467,62.9804149293802,67.60786306320767,96.72790004498155,88.43137966543131,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812,88.43137966543131,67.60786306320767,95.37255186617253,60.59869892038341,41.10220080966804,50.48414265632012,95.37255186617253
conversation,72.23531119703514,100.0,100.0,59.59254632331019,59.59254632331019,100.0,100.0,72.23531119703514,88.43137966543131,69.13107076215275,49.467503618184885,100.0,48.88816477356607,65.60401895893501,97.68627593308626,66.87251282013307,91.65774923946745,55.07560479208904,49.467503618184885,42.90209017652353,42.90209017652353,64.75840495361658,41.01137916868797,60.058929918827644,69.13107076215275,90.18370013494467,62.9804149293802,67.60786306320767,96.72790004498155,88.43137966543131,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588,100.0,42.156898327156554,100.0,59.59254632331019,48.574912595494524,59.00070507735315,42.156898327156554,69.47988341994812
dailycaller,59.00070507735315,42.156898327156554,59.59254632331019,48.574912595494524,48.574912595494524,59.59254632331019,42.156898327156554,59.00070507735315,96.72790004498155,90.18370013494467,42.90209017652353,48.88816477356607,100.0,67.60786306320767,58.0328465342071,67.52533519203436,49.098070527897775,57.84194113582954,44.56711139417057,56.714186270377844,48.88816477356607,65.60401895893501,97.68627593308626,66.87251282013307,91.65774923946745,55.07560479208904,49.467503618184885,42.90209017652353,42.90209017652353,64.75840495361658,41.01137916868797,60.058929918827644,69.13107076215275,90.18370013494467,62.9804149293802,67.60786306320767,96.72790004498155,88.43137966543131,96.72790004498155,87.54021458143603,68.95813423122166,72.23531119703514,59.00070507735315,93.0588277992588
dailykos,93.0588277992588,100.0,48.574912595494524,59.00070507735315,59.00070507735315,48.574912595494524,100.0,93.0588277992588,87.54021458143603,62.9804149293802,42.90209017652353,65.60401895893501,67.60786306320767,100.0,42.668177235509695,33.02178435901955,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,58.0328465342071,67.52533519203436,49.098070527897775,57.84194113582954,44.56711139417057,56.714186270377844,48.88816477356607,65.60401895893501,97.68627593308626,66.87251282013307,91.65774923946745,55.07560479208904,49.467503618184885,42.90209017652353,42.90209017652353,64.75840495361658,41.01137916868797,60.058929918827644,69.13107076215275,90.18370013494467,62.9804149293802
dailymail,100.0,59.59254632331019,59.00070507735315,42.156898327156554,42.156898327156554,59.00070507735315,59.59254632331019,100.0,68.95813423122166,67.60786306320767,64.75840495361658,97.68627593308626,58.0328465342071,42.668177235509695,100.0,67.27900044981558,47.54424725811911,60.59869892038341,42.668177235509695,57.337036206360594,39.267497739389015,83.15583453939496,41.10220080966804,40.379501390966865,42.668177235509695,33.02178435901955,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,58.0328465342071,67.52533519203436,49.098070527897775,57.84194113582954,44.56711139417057,56.714186270377844,48.88816477356607,65.60401895893501,97.68627593308626,66.87251282013307,91.65774923946745
dailywire,42.156898327156554,48.574912595494524,42.156898327156554,69.47988341994812,69.47988341994812,42.156898327156554,48.574912595494524,42.156898327156554,72.23531119703514,96.72790004498155,41.01137916868797,66.87251282013307,67.52533519203436,33.02178435901955,67.27900044981558,100.0,41.01137916868797,69.13107076215275,100.0,62.9804149293802,47.238973568890465,50.48414265632012,49.94649543680466,67.52533519203436,59.59254632331019,90.74510373234504,67.27900044981558,47.54424725811911,60.59869892038341,42.668177235509695,57.337036206360594,39.267497739389015,83.15583453939496,41.10220080966804,40.379501390966865,42.668177235509695,33.02178435901955,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767
economist,100.0,59.00070507735315,69.47988341994812,88.43137966543131,88.43137966543131,69.47988341994812,59.00070507735315,100.0,59.00070507735315,88.43137966543131,60.058929918827644,91.65774923946745,49.098070527897775,47.34053483039722,47.54424725811911,41.01137916868797,100.0,82.37920247680829,48.62698864672996,47.800005743024585,50.430115518215366,39.53251355903553,47.54424725811911,42.668177235509695,95.37255186617253,44.56711139417057,66.87251282013307,42.90209017652353,41.01137916868797,69.13107076215275,100.0,62.9804149293802,47.238973568890465,50.48414265632012,49.94649543680466,67.52533519203436,59.59254632331019,90.74510373234504,67.27900044981558,47.54424725811911,60.59869892038341,42.668177235509695,57.337036206360594,39.267497739389015
federalist,59.59254632331019,42.156898327156554,88.43137966543131,67.60786306320767,67.60786306320767,88.43137966543131,42.156898327156554,59.59254632331019,93.0588277992588,96.72790004498155,69.13107076215275,55.07560479208904,57.84194113582954,71.380813850743,60.59869892038341,69.13107076215275,82.37920247680829,100.0,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,50.430115518215366,55.79636376831898,88.43137966543131,50.430115518215366,55.79636376831898,46.53344618480014,82.37920247680829,48.62698864672996,47.800005743024585,50.430115518215366,39.53251355903553,47.54424725811911,42.668177235509695,95.37255186617253,44.56711139417057,66.87251282013307,42.90209017652353,41.01137916868797,69.13107076215275,100.0
fox,48.574912595494524,69.47988341994812,67.60786306320767,95.37255186617253,95.37255186617253,67.60786306320767,69.47988341994812,48.574912595494524,100.0,87.54021458143603,90.18370013494467,49.467503618184885,44.56711139417057,44.23013024409141,42.668177235509695,100.0,48.62698864672996,71.380813850743,100.0,44.56711139417057,66.87251282013307,42.90209017652353,41.01137916868797,69.13107076215275,100.0,62.9804149293802,50.430115518215366,95.37255186617253,50.48414265632012,42.668177235509695,100.0,47.34053483039722,71.380813850743,44.23013024409141,44.37430076468648,73.61948678444523,95.37255186617253,67.60786306320767,50.430115518215366,55.79636376831898,88.43137966543131,50.430115518215366,55.79636376831898,46.53344618480014
guardian,59.00070507735315,88.43137966543131,95.37255186617253,60.59869892038341,60.59869892038341,95.37255186617253,88.43137966543131,59.00070507735315,42.156898327156554,68.95813423122166,62.9804149293802,42.90209017652353,56.714186270377844,44.37430076468648,57.337036206360594,62.9804149293802,47.800005743024585,44.23013024409141,44.56711139417057,100.0,59.00070507735315,57.337036206360594,87.54021458143603,47.18826617955006,72.23531119703514,85.36672414280952,54.54253464702508,86.50878626788017,95.37255186617253,50.430115518215366,100.0,47.54424725811911,42.668177235509695,95.37255186617253,44.56711139417057,66.87251282013307,42.90209017652353,41.01137916868797,69.13107076215275,100.0,62.9804149293802,50.430115518215366,95.37255186617253,50.48414265632012
