,aljazeera,alternet,americanconservative,americanthinker,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,motherjones,nationalreview,nbc,newyorker,npr,nypost,nytimes,observerny,opednews,pbs,pjmedia,psychologytoday,rawstory,redstate,reuters,reveal,rt,slate,snopes,spectator,strategicculture,time,townhall,truthdig,usatoday,veteranstoday,vice,vox,wapo,wsj
counterpunch,6.782329983125268,12.529964086141668,12.041594578792296,12.529964086141668,12.529964086141668,12.041594578792296,12.529964086141668,6.782329983125268,16.0312195418814,5.0,16.97056274847714,16.15549442140351,11.224972160321824,16.64331697709324,13.564659966250536,10.344080432788601,19.849433241279208,21.840329667841555,,11.916375287812984,13.0,11.916375287812984,10.295630140987,7.810249675906654,22.0,15.132745950421556,20.445048300260872,4.123105625617661,12.727922061357855,10.816653826391969,7.810249675906654,4.242640687119285,21.840329667841555,21.213203435596427,4.242640687119285,6.708203932499369,12.727922061357855,16.15549442140351,19.87460691435179,24.08318915758459,21.93171219946131,20.322401432901575,16.911534525287763,29.816103031751148,11.916375287812984,19.849433241279208,18.027756377319946,16.0,23.259406699226016,10.344080432788601,7.874007874011811,10.677078252031311,4.123105625617661,23.280893453645632,22.02271554554524,8.06225774829855,9.899494936611665,10.344080432788601,14.7648230602334,3.0,14.317821063276353,11.224972160321824,19.209372712298546,23.62202362203543,15.297058540778355,16.15549442140351
dailycaller,13.45362404707371,8.0,12.529964086141668,12.884098726725126,12.884098726725126,12.529964086141668,8.0,13.45362404707371,23.853720883753127,28.844410203711913,21.840329667841555,23.62202362203543,13.74772708486752,5.0,9.0,14.7648230602334,18.027756377319946,21.213203435596427,11.916375287812984,,12.569805089976535,14.035668847618199,12.083045973594572,22.825424421026653,15.652475842498529,15.937377450509228,23.727621035409346,6.164414002968976,13.341664064126334,18.867962264113206,15.588457268119896,17.435595774162696,17.0,6.082762530298219,11.916375287812984,13.0,11.916375287812984,10.295630140987,7.810249675906654,22.0,15.132745950421556,20.445048300260872,4.123105625617661,12.727922061357855,10.816653826391969,7.810249675906654,4.242640687119285,21.840329667841555,21.213203435596427,4.242640687119285,6.708203932499369,12.727922061357855,16.15549442140351,19.87460691435179,24.08318915758459,21.93171219946131,20.322401432901575,16.911534525287763,29.816103031751148,11.916375287812984,19.849433241279208,18.027756377319946,16.0,23.259406699226016,10.344080432788601,7.874007874011811
dailykos,8.0,12.041594578792296,12.884098726725126,15.811388300841896,15.811388300841896,12.884098726725126,12.041594578792296,8.0,5.830951894845301,11.40175425099138,17.349351572897472,20.12461179749811,21.0,4.0,20.784609690826528,3.0,16.0,4.242640687119285,13.0,12.569805089976535,,13.74772708486752,9.848857801796104,12.727922061357855,10.816653826391969,12.727922061357855,14.071247279470288,12.36931687685298,22.44994432064365,9.0,14.52583904633395,14.866068747318506,26.888659319497503,14.560219778561036,7.681145747868608,9.899494936611665,12.569805089976535,14.035668847618199,12.083045973594572,22.825424421026653,15.652475842498529,15.937377450509228,23.727621035409346,6.164414002968976,13.341664064126334,18.867962264113206,15.588457268119896,17.435595774162696,17.0,6.082762530298219,11.916375287812984,13.0,11.916375287812984,10.295630140987,7.810249675906654,22.0,15.132745950421556,20.445048300260872,4.123105625617661,12.727922061357855,10.816653826391969,7.810249675906654,4.242640687119285,21.840329667841555,21.213203435596427,4.242640687119285
dailymail,12.529964086141668,12.529964086141668,15.811388300841896,5.830951894845301,5.830951894845301,15.811388300841896,12.529964086141668,12.529964086141668,13.0,10.862780491200215,22.47220505424423,3.0,20.12461179749811,18.681541692269406,22.64950330581225,14.317821063276353,23.259406699226016,6.708203932499369,11.916375287812984,14.035668847618199,13.74772708486752,,18.0,20.12461179749811,19.0,22.847319317591726,6.708203932499369,22.847319317591726,23.62202362203543,22.64950330581225,32.863353450309965,12.36931687685298,10.344080432788601,7.211102550927978,15.297058540778355,19.390719429665317,15.84297951775486,13.416407864998739,13.74772708486752,9.848857801796104,12.727922061357855,10.816653826391969,12.727922061357855,14.071247279470288,12.36931687685298,22.44994432064365,9.0,14.52583904633395,14.866068747318506,26.888659319497503,14.560219778561036,7.681145747868608,9.899494936611665,12.569805089976535,14.035668847618199,12.083045973594572,22.825424421026653,15.652475842498529,15.937377450509228,23.727621035409346,6.164414002968976,13.341664064126334,18.867962264113206,15.588457268119896,17.435595774162696,17.0
dailywire,8.0,12.884098726725126,5.830951894845301,10.0,10.0,5.830951894845301,12.884098726725126,8.0,6.782329983125268,20.223748416156685,12.409673645990857,15.297058540778355,18.973665961010276,14.422205101855956,13.74772708486752,11.224972160321824,10.344080432788601,12.727922061357855,10.295630140987,12.083045973594572,9.848857801796104,18.0,,11.357816691600547,1.4142135623730951,4.123105625617661,14.317821063276353,11.832159566199232,18.138357147217054,23.15167380558045,15.748015748023622,16.401219466856727,19.026297590440446,5.385164807134504,12.0,11.445523142259598,17.08800749063506,24.372115213907882,30.854497241083024,24.71841418861655,18.0,20.12461179749811,19.0,22.847319317591726,6.708203932499369,22.847319317591726,23.62202362203543,22.64950330581225,32.863353450309965,12.36931687685298,10.344080432788601,7.211102550927978,15.297058540778355,19.390719429665317,15.84297951775486,13.416407864998739,13.74772708486752,9.848857801796104,12.727922061357855,10.816653826391969,12.727922061357855,14.071247279470288,12.36931687685298,22.44994432064365,9.0,14.52583904633395
economist,12.041594578792296,15.811388300841896,10.0,12.041594578792296,12.041594578792296,10.0,15.811388300841896,12.041594578792296,13.45362404707371,16.0312195418814,14.0,17.233687939614086,31.89043743820395,21.0,14.696938456699069,19.209372712298546,7.874007874011811,16.15549442140351,7.810249675906654,22.825424421026653,12.727922061357855,20.12461179749811,11.357816691600547,,19.390719429665317,15.84297951775486,13.416407864998739,13.74772708486752,9.848857801796104,12.727922061357855,10.816653826391969,12.727922061357855,14.071247279470288,12.36931687685298,22.44994432064365,9.0,16.673332000533065,12.569805089976535,6.708203932499369,17.029386365926403,13.490737563232042,24.20743687382041,11.357816691600547,1.4142135623730951,4.123105625617661,14.317821063276353,11.832159566199232,18.138357147217054,23.15167380558045,15.748015748023622,16.401219466856727,19.026297590440446,5.385164807134504,12.0,11.445523142259598,17.08800749063506,24.372115213907882,30.854497241083024,24.71841418861655,18.0,20.12461179749811,19.0,22.847319317591726,6.708203932499369,22.847319317591726,23.62202362203543
federalist,12.529964086141668,5.830951894845301,12.041594578792296,21.213203435596427,21.213203435596427,12.041594578792296,5.830951894845301,12.529964086141668,8.0,23.853720883753127,5.0,16.15549442140351,14.696938456699069,18.0,15.0,23.62202362203543,10.677078252031311,19.87460691435179,22.0,15.652475842498529,10.816653826391969,19.0,1.4142135623730951,19.390719429665317,,17.944358444926362,31.240998703626616,16.09347693943108,7.211102550927978,9.848857801796104,19.1049731745428,17.60681686165901,20.223748416156685,29.765752132274432,20.445048300260872,21.656407827707714,24.331050121192877,10.44030650891055,12.569805089976535,12.0,0.0,10.344080432788601,7.211102550927978,15.297058540778355,19.390719429665317,15.84297951775486,13.416407864998739,13.74772708486752,9.848857801796104,12.727922061357855,10.816653826391969,12.727922061357855,14.071247279470288,12.36931687685298,22.44994432064365,9.0,16.673332000533065,12.569805089976535,6.708203932499369,17.029386365926403,13.490737563232042,24.20743687382041,11.357816691600547,1.4142135623730951,4.123105625617661,14.317821063276353
fox,12.884098726725126,10.0,21.213203435596427,8.0,8.0,21.213203435596427,10.0,12.884098726725126,12.529964086141668,5.830951894845301,28.844410203711913,16.97056274847714,18.973665961010276,6.0,8.48528137423857,15.297058540778355,4.123105625617661,24.08318915758459,15.132745950421556,15.937377450509228,12.727922061357855,22.847319317591726,4.123105625617661,15.84297951775486,17.944358444926362,,13.152946437965905,5.0,23.08679276123039,9.055385138137417,16.64331697709324,15.231546211727817,7.483314773547883,8.54400374531753,21.72556098240043,22.47220505424423,3.605551275463989,6.324555320336759,16.64331697709324,19.390719429665317,18.110770276274835,7.0710678118654755,18.110770276274835,18.110770276274835,8.660254037844387,22.360679774997898,17.944358444926362,31.240998703626616,16.09347693943108,7.211102550927978,9.848857801796104,19.1049731745428,17.60681686165901,20.223748416156685,29.765752132274432,20.445048300260872,21.656407827707714,24.331050121192877,10.44030650891055,12.569805089976535,12.0,0.0,10.344080432788601,7.211102550927978,15.297058540778355,19.390719429665317
freebeacon,15.811388300841896,12.041594578792296,8.0,11.40175425099138,11.40175425099138,8.0,12.041594578792296,15.811388300841896,8.0,13.0,11.40175425099138,21.840329667841555,16.15549442140351,6.708203932499369,7.810249675906654,16.15549442140351,23.280893453645632,21.93171219946131,20.445048300260872,23.727621035409346,14.071247279470288,6.708203932499369,14.317821063276353,13.416407864998739,31.240998703626616,13.152946437965905,,15.652475842498529,10.295630140987,4.242640687119285,19.849433241279208,8.06225774829855,15.297058540778355,13.74772708486752,5.0,6.0,20.12461179749811,18.973665961010276,0.0,3.0,15.297058540778355,17.233687939614086,20.904544960366874,17.0,17.233687939614086,25.475478405713993,17.0,16.911534525287763,13.152946437965905,5.0,23.08679276123039,9.055385138137417,16.64331697709324,15.231546211727817,7.483314773547883,8.54400374531753,21.72556098240043,22.47220505424423,3.605551275463989,6.324555320336759,16.64331697709324,19.390719429665317,18.110770276274835,7.0710678118654755,18.110770276274835,18.110770276274835
globalresearch,5.830951894845301,21.213203435596427,11.40175425099138,5.0,5.0,11.40175425099138,21.213203435596427,5.830951894845301,12.041594578792296,6.782329983125268,10.862780491200215,17.349351572897472,23.62202362203543,11.224972160321824,15.231546211727817,18.0,22.02271554554524,20.322401432901575,4.123105625617661,6.164414002968976,12.36931687685298,22.847319317591726,11.832159566199232,13.74772708486752,16.09347693943108,5.0,15.652475842498529,,11.224972160321824,5.385164807134504,16.55294535724685,15.297058540778355,24.698178070456937,13.601470508735444,4.242640687119285,6.708203932499369,14.730919862656235,13.416407864998739,16.15549442140351,22.44994432064365,16.97056274847714,17.233687939614086,21.213203435596427,3.0,3.605551275463989,20.445048300260872,14.071247279470288,15.748015748023622,23.62202362203543,14.071247279470288,15.652475842498529,10.295630140987,4.242640687119285,19.849433241279208,8.06225774829855,15.297058540778355,13.74772708486752,5.0,6.0,20.12461179749811,18.973665961010276,0.0,3.0,15.297058540778355,17.233687939614086,20.904544960366874
