,aljazeera,alternet,americanconservative,antiwar,ap,atlantic,axios,bbc,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,fox,globalresearch,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,reuters,rt,slate,spectator,strategicculture,truthdig,usatoday,vice,vox,wapo,wsj
buzzfeed,92.68336207140476,86.31182382406062,100.0,19.950497114563127,19.950497114563127,100.0,86.31182382406062,92.68336207140476,64.60682750121278,72.0431657292691,100.0,67.77355282975994,69.13107076215275,88.43137966543131,54.13220749020478,76.74736090592295,72.0431657292691,52.3575055175118,69.92158713012141,57.77849782098372,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052,74.65442273417506,86.11765559851757,56.77606737954388,55.07560479208904,65.14023198407372,44.23013024409141,76.63253236019752
canary,70.64213276976082,73.51821764733582,19.950497114563127,92.68336207140476,92.68336207140476,19.950497114563127,73.51821764733582,70.64213276976082,39.79869600962677,52.3575055175118,67.77355282975994,100.0,57.71514969506818,59.06604264065884,45.93603597989274,39.39986077852898,59.99197082725847,81.92923735624956,67.77355282975994,69.13107076215275,88.43137966543131,54.13220749020478,76.74736090592295,72.0431657292691,52.3575055175118,69.92158713012141,57.77849782098372,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588,96.72790004498155,85.18493734841294,43.184056886618926,60.59869892038341,49.098070527897775,93.0588277992588,90.18370013494467,64.53128168954052
cbs,76.63253236019752,100.0,92.68336207140476,52.3575055175118,52.3575055175118,92.68336207140476,100.0,76.63253236019752,79.17648339777637,69.92158713012141,69.13107076215275,57.71514969506818,100.0,90.18370013494467,64.60682750121278,86.11765559851757,90.460271283581,56.46754146080411,68.44501077874139,79.17648339777637,57.71514969506818,59.06604264065884,45.93603597989274,39.39986077852898,59.99197082725847,81.92923735624956,67.77355282975994,69.13107076215275,88.43137966543131,54.13220749020478,76.74736090592295,72.0431657292691,52.3575055175118,69.92158713012141,57.77849782098372,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062,73.51821764733582,100.0,19.950497114563127,92.68336207140476,52.3575055175118,85.73724696291063,29.706945646358307,96.72790004498155,93.0588277992588
cnbc,86.31182382406062,19.950497114563127,52.3575055175118,85.73724696291063,85.73724696291063,52.3575055175118,19.950497114563127,86.31182382406062,72.91855412056492,57.77849782098372,88.43137966543131,59.06604264065884,90.18370013494467,100.0,49.839657525357275,65.60401895893501,86.7086671508113,59.59254632331019,91.65774923946745,79.30542282081444,62.33530100583307,62.62064374430807,90.18370013494467,64.60682750121278,86.11765559851757,90.460271283581,56.46754146080411,68.44501077874139,79.17648339777637,57.71514969506818,59.06604264065884,45.93603597989274,39.39986077852898,59.99197082725847,81.92923735624956,67.77355282975994,69.13107076215275,88.43137966543131,54.13220749020478,76.74736090592295,72.0431657292691,52.3575055175118,69.92158713012141,57.77849782098372,57.71514969506818,64.60682750121278,39.79869600962677,79.17648339777637,72.91855412056492,92.68336207140476,70.64213276976082,76.63253236019752,86.31182382406062
cnn,73.51821764733582,92.68336207140476,85.73724696291063,29.706945646358307,29.706945646358307,85.73724696291063,92.68336207140476,73.51821764733582,92.68336207140476,57.71514969506818,54.13220749020478,45.93603597989274,64.60682750121278,49.839657525357275,100.0,58.0328465342071,46.985921630633634,44.470622394070304,67.52533519203436,75.08042916287204,88.2022758337376,65.99533978278531,70.27967623763807,48.574912595494524,49.839657525357275,65.60401895893501,86.7086671508113,59.59254632331019,91.65774923946745,79.30542282081444,62.33530100583307,62.62064374430807,90.18370013494467,64.60682750121278,86.11765559851757,90.460271283581,56.46754146080411,68.44501077874139,79.17648339777637,57.71514969506818,59.06604264065884,45.93603597989274,39.39986077852898,59.99197082725847,81.92923735624956,67.77355282975994,69.13107076215275,88.43137966543131,54.13220749020478,76.74736090592295,72.0431657292691,52.3575055175118,69.92158713012141
commondreams,100.0,52.3575055175118,29.706945646358307,96.72790004498155,96.72790004498155,29.706945646358307,52.3575055175118,100.0,70.64213276976082,64.60682750121278,76.74736090592295,39.39986077852898,86.11765559851757,65.60401895893501,58.0328465342071,100.0,61.701051948629946,87.97753708423154,54.48369000704547,81.2032168226623,52.07741789299122,41.37550993724744,45.98556779424933,51.301741893447364,47.18826617955006,47.54424725811911,58.0328465342071,46.985921630633634,44.470622394070304,67.52533519203436,75.08042916287204,88.2022758337376,65.99533978278531,70.27967623763807,48.574912595494524,49.839657525357275,65.60401895893501,86.7086671508113,59.59254632331019,91.65774923946745,79.30542282081444,62.33530100583307,62.62064374430807,90.18370013494467,64.60682750121278,86.11765559851757,90.460271283581,56.46754146080411,68.44501077874139,79.17648339777637,57.71514969506818,59.06604264065884,45.93603597989274
consortium,19.950497114563127,85.73724696291063,96.72790004498155,93.0588277992588,93.0588277992588,96.72790004498155,85.73724696291063,19.950497114563127,76.63253236019752,39.79869600962677,72.0431657292691,59.99197082725847,90.460271283581,86.7086671508113,46.985921630633634,61.701051948629946,100.0,88.43137966543131,72.0431657292691,69.92158713012141,57.77849782098372,100.0,55.49462896018209,58.0328465342071,72.81989643179065,65.91671618599466,55.07560479208904,76.74736090592295,61.701051948629946,87.97753708423154,54.48369000704547,81.2032168226623,52.07741789299122,41.37550993724744,45.98556779424933,51.301741893447364,47.18826617955006,47.54424725811911,58.0328465342071,46.985921630633634,44.470622394070304,67.52533519203436,75.08042916287204,88.2022758337376,65.99533978278531,70.27967623763807,48.574912595494524,49.839657525357275,65.60401895893501,86.7086671508113,59.59254632331019,91.65774923946745,79.30542282081444
conversation,92.68336207140476,29.706945646358307,93.0588277992588,96.72790004498155,96.72790004498155,93.0588277992588,29.706945646358307,92.68336207140476,86.31182382406062,79.17648339777637,52.3575055175118,81.92923735624956,56.46754146080411,59.59254632331019,44.470622394070304,87.97753708423154,88.43137966543131,100.0,67.77355282975994,82.68567450815114,69.92158713012141,72.81989643179065,55.01606282399917,89.39718432612673,81.2032168226623,44.470622394070304,65.60401895893501,90.18370013494467,79.17648339777637,59.99197082725847,88.43137966543131,72.0431657292691,69.92158713012141,57.77849782098372,100.0,55.49462896018209,58.0328465342071,72.81989643179065,65.91671618599466,55.07560479208904,76.74736090592295,61.701051948629946,87.97753708423154,54.48369000704547,81.2032168226623,52.07741789299122,41.37550993724744,45.98556779424933,51.301741893447364,47.18826617955006,47.54424725811911,58.0328465342071,46.985921630633634
counterpunch,52.3575055175118,96.72790004498155,96.72790004498155,85.18493734841294,85.18493734841294,96.72790004498155,96.72790004498155,52.3575055175118,73.51821764733582,72.91855412056492,69.92158713012141,67.77355282975994,68.44501077874139,91.65774923946745,67.52533519203436,54.48369000704547,72.0431657292691,67.77355282975994,100.0,64.60682750121278,51.798957780022256,76.17875275875589,61.214917104043046,90.74510373234504,56.10017242842855,79.17648339777637,89.39718432612673,84.47906711561083,52.5263512742019,71.47449392582126,82.53176636589998,76.86275933086262,67.77355282975994,82.68567450815114,69.92158713012141,72.81989643179065,55.01606282399917,89.39718432612673,81.2032168226623,44.470622394070304,65.60401895893501,90.18370013494467,79.17648339777637,59.99197082725847,88.43137966543131,72.0431657292691,69.92158713012141,57.77849782098372,100.0,55.49462896018209,58.0328465342071,72.81989643179065,65.91671618599466
dailycaller,85.73724696291063,93.0588277992588,85.18493734841294,43.184056886618926,43.184056886618926,85.18493734841294,93.0588277992588,85.73724696291063,100.0,92.68336207140476,57.77849782098372,69.13107076215275,79.17648339777637,79.30542282081444,75.08042916287204,81.2032168226623,69.92158713012141,82.68567450815114,64.60682750121278,100.0,95.37255186617253,89.39718432612673,58.288746197337225,93.0588277992588,83.31549847893488,61.214917104043046,66.87251282013307,86.50878626788017,81.2032168226623,79.17648339777637,95.9925123614105,55.55481204523883,55.254706084068175,71.380813850743,64.60682750121278,51.798957780022256,76.17875275875589,61.214917104043046,90.74510373234504,56.10017242842855,79.17648339777637,89.39718432612673,84.47906711561083,52.5263512742019,71.47449392582126,82.53176636589998,76.86275933086262,67.77355282975994,82.68567450815114,69.92158713012141,72.81989643179065,55.01606282399917,89.39718432612673
